epoch,phase,pct,batch_idx,n_batches,cumulative_loss,elapsed_min
1,train,4.8,21,438,5.332,0.3
1,train,9.6,42,438,4.1409,0.4
1,train,14.4,63,438,3.5084,0.5
1,train,19.2,84,438,3.1617,0.6
1,train,24.0,105,438,2.9545,0.7
1,train,28.8,126,438,2.8128,0.8
1,train,33.6,147,438,2.7133,1.0
1,train,38.4,168,438,2.636,1.1
1,train,43.2,189,438,2.5759,1.5
1,train,47.9,210,438,2.5261,1.6
1,train,52.7,231,438,2.4859,1.7
1,train,57.5,252,438,2.4523,1.9
1,train,62.3,273,438,2.4227,2.0
1,train,67.1,294,438,2.3978,2.2
1,train,71.9,315,438,2.3762,2.4
1,train,76.7,336,438,2.3572,2.6
1,train,81.5,357,438,2.3404,2.8
1,train,86.3,378,438,2.3255,3.0
1,train,91.1,399,438,2.312,3.1
1,train,95.9,420,438,2.2995,3.5
1,train,100.0,438,438,2.29,3.7
1,val,4.2,4,95,1.9471,0.1
1,val,8.4,8,95,1.9456,0.1
1,val,12.6,12,95,1.9494,0.2
1,val,16.8,16,95,1.9637,0.2
1,val,21.1,20,95,1.9607,0.2
1,val,25.3,24,95,1.9593,0.2
1,val,29.5,28,95,1.9617,0.3
1,val,33.7,32,95,1.959,0.3
1,val,37.9,36,95,1.957,0.3
1,val,42.1,40,95,1.956,0.3
1,val,46.3,44,95,1.9545,0.6
1,val,50.5,48,95,1.9509,0.6
1,val,54.7,52,95,1.9559,0.6
1,val,58.9,56,95,1.9514,0.6
1,val,63.2,60,95,1.9533,0.7
1,val,67.4,64,95,1.9535,0.7
1,val,71.6,68,95,1.9512,0.7
1,val,75.8,72,95,1.9512,0.7
1,val,80.0,76,95,1.9477,0.8
1,val,84.2,80,95,1.9471,0.8
1,val,88.4,84,95,1.9472,0.8
1,val,92.6,88,95,1.9465,0.8
1,val,96.8,92,95,1.9478,0.9
1,val,100.0,95,95,1.9488,0.9
2,train,4.8,21,438,2.064,0.3
2,train,9.6,42,438,2.0543,0.4
2,train,14.4,63,438,2.0541,0.6
2,train,19.2,84,438,2.0556,0.7
2,train,24.0,105,438,2.0546,0.9
2,train,28.8,126,438,2.0531,1.0
2,train,33.6,147,438,2.0525,1.1
2,train,38.4,168,438,2.0511,1.2
2,train,43.2,189,438,2.0508,1.5
2,train,47.9,210,438,2.0489,1.6
2,train,52.7,231,438,2.0477,2.1
2,train,57.5,252,438,2.0482,2.2
2,train,62.3,273,438,2.0474,2.7
2,train,67.1,294,438,2.0466,2.8
2,train,71.9,315,438,2.0449,3.2
2,train,76.7,336,438,2.0437,3.3
2,train,81.5,357,438,2.0433,3.4
2,train,86.3,378,438,2.0429,3.6
2,train,91.1,399,438,2.043,3.8
2,train,95.9,420,438,2.0434,3.9
2,train,100.0,438,438,2.0431,4.0
2,val,4.2,4,95,1.9282,0.4
2,val,8.4,8,95,1.9144,0.4
2,val,12.6,12,95,1.9173,0.5
2,val,16.8,16,95,1.9265,0.5
2,val,21.1,20,95,1.9251,0.5
2,val,25.3,24,95,1.9217,0.5
2,val,29.5,28,95,1.9256,0.6
2,val,33.7,32,95,1.9261,0.6
2,val,37.9,36,95,1.9258,0.7
2,val,42.1,40,95,1.9257,0.7
2,val,46.3,44,95,1.9256,0.9
2,val,50.5,48,95,1.9263,0.9
2,val,54.7,52,95,1.9267,0.9
2,val,58.9,56,95,1.9243,0.9
2,val,63.2,60,95,1.9238,1.1
2,val,67.4,64,95,1.9239,1.2
2,val,71.6,68,95,1.9221,1.2
2,val,75.8,72,95,1.9213,1.2
2,val,80.0,76,95,1.917,1.2
2,val,84.2,80,95,1.9163,1.2
2,val,88.4,84,95,1.9159,1.5
2,val,92.6,88,95,1.9163,1.5
2,val,96.8,92,95,1.9178,1.5
2,val,100.0,95,95,1.9187,1.5
3,train,4.8,21,438,2.0308,0.4
3,train,9.6,42,438,2.0345,0.5
3,train,14.4,63,438,2.0335,0.6
3,train,19.2,84,438,2.032,0.7
3,train,24.0,105,438,2.0292,0.8
3,train,28.8,126,438,2.0296,1.1
3,train,33.6,147,438,2.0294,1.2
3,train,38.4,168,438,2.0294,1.3
3,train,43.2,189,438,2.0285,1.5
3,train,47.9,210,438,2.0291,1.8
3,train,52.7,231,438,2.0307,1.9
3,train,57.5,252,438,2.0314,2.2
3,train,62.3,273,438,2.0314,2.4
3,train,67.1,294,438,2.0313,2.6
3,train,71.9,315,438,2.0314,2.8
3,train,76.7,336,438,2.0305,3.0
3,train,81.5,357,438,2.0298,3.3
3,train,86.3,378,438,2.0295,3.5
3,train,91.1,399,438,2.0297,3.6
3,train,95.9,420,438,2.0286,3.9
3,train,100.0,438,438,2.0286,4.0
3,val,4.2,4,95,1.9494,0.4
3,val,8.4,8,95,1.9282,0.4
3,val,12.6,12,95,1.9311,0.6
3,val,16.8,16,95,1.9494,0.6
3,val,21.1,20,95,1.9457,0.7
3,val,25.3,24,95,1.944,0.7
3,val,29.5,28,95,1.9457,0.8
3,val,33.7,32,95,1.9453,0.8
3,val,37.9,36,95,1.9445,0.8
3,val,42.1,40,95,1.9419,0.8
3,val,46.3,44,95,1.941,0.9
3,val,50.5,48,95,1.94,0.9
3,val,54.7,52,95,1.9367,0.9
3,val,58.9,56,95,1.9291,0.9
3,val,63.2,60,95,1.9281,1.0
3,val,67.4,64,95,1.9277,1.0
3,val,71.6,68,95,1.9253,1.2
3,val,75.8,72,95,1.925,1.2
3,val,80.0,76,95,1.9206,1.3
3,val,84.2,80,95,1.9194,1.3
3,val,88.4,84,95,1.9203,1.3
3,val,92.6,88,95,1.9201,1.3
3,val,96.8,92,95,1.9216,1.3
3,val,100.0,95,95,1.9224,1.3
4,train,4.8,21,438,2.0189,0.3
4,train,9.6,42,438,2.0175,0.4
4,train,14.4,63,438,2.0177,0.5
4,train,19.2,84,438,2.0256,0.6
4,train,24.0,105,438,2.0257,0.7
4,train,28.8,126,438,2.0231,1.1
4,train,33.6,147,438,2.0227,2.3
4,train,38.4,168,438,2.0231,2.4
4,train,43.2,189,438,2.0207,2.6
4,train,47.9,210,438,2.0198,2.7
4,train,52.7,231,438,2.0194,2.9
4,train,57.5,252,438,2.0192,3.3
4,train,62.3,273,438,2.0192,3.4
4,train,67.1,294,438,2.0185,3.7
4,train,71.9,315,438,2.0188,3.9
4,train,76.7,336,438,2.0181,4.0
4,train,81.5,357,438,2.0174,4.3
4,train,86.3,378,438,2.0178,4.4
4,train,91.1,399,438,2.0182,4.8
4,train,95.9,420,438,2.018,5.0
4,train,100.0,438,438,2.0173,5.1
4,val,4.2,4,95,1.885,0.4
4,val,8.4,8,95,1.8808,0.4
4,val,12.6,12,95,1.8874,0.5
4,val,16.8,16,95,1.9068,0.5
4,val,21.1,20,95,1.901,0.5
4,val,25.3,24,95,1.8985,0.5
4,val,29.5,28,95,1.9018,0.5
4,val,33.7,32,95,1.899,0.6
4,val,37.9,36,95,1.8983,0.6
4,val,42.1,40,95,1.9002,0.6
4,val,46.3,44,95,1.9007,0.6
4,val,50.5,48,95,1.8996,0.7
4,val,54.7,52,95,1.8976,0.7
4,val,58.9,56,95,1.8907,0.7
4,val,63.2,60,95,1.8904,0.7
4,val,67.4,64,95,1.8901,0.7
4,val,71.6,68,95,1.8864,0.8
4,val,75.8,72,95,1.8854,0.8
4,val,80.0,76,95,1.8776,0.8
4,val,84.2,80,95,1.8772,0.8
4,val,88.4,84,95,1.8772,0.9
4,val,92.6,88,95,1.877,1.1
4,val,96.8,92,95,1.8787,1.1
4,val,100.0,95,95,1.8792,1.1
5,train,4.8,21,438,2.0092,0.2
5,train,9.6,42,438,2.0136,0.3
5,train,14.4,63,438,2.0056,0.5
5,train,19.2,84,438,2.0074,0.7
5,train,24.0,105,438,2.0087,0.8
5,train,28.8,126,438,2.0098,1.0
5,train,33.6,147,438,2.0111,1.3
5,train,38.4,168,438,2.0118,1.4
5,train,43.2,189,438,2.0115,1.6
5,train,47.9,210,438,2.0107,1.8
5,train,52.7,231,438,2.0102,2.1
5,train,57.5,252,438,2.0099,2.2
5,train,62.3,273,438,2.0099,2.4
5,train,67.1,294,438,2.0085,2.5
5,train,71.9,315,438,2.007,2.8
5,train,76.7,336,438,2.0082,2.9
5,train,81.5,357,438,2.0079,3.1
5,train,86.3,378,438,2.0078,3.4
5,train,91.1,399,438,2.0078,3.5
5,train,95.9,420,438,2.0077,3.9
5,train,100.0,438,438,2.0083,4.0
5,val,4.2,4,95,1.9096,0.1
5,val,8.4,8,95,1.9034,0.2
5,val,12.6,12,95,1.9049,0.2
5,val,16.8,16,95,1.921,0.2
5,val,21.1,20,95,1.9191,0.2
5,val,25.3,24,95,1.9177,0.3
5,val,29.5,28,95,1.9213,0.3
5,val,33.7,32,95,1.9184,0.3
5,val,37.9,36,95,1.9178,0.3
5,val,42.1,40,95,1.9148,0.4
5,val,46.3,44,95,1.9133,0.4
5,val,50.5,48,95,1.912,0.4
5,val,54.7,52,95,1.9092,0.5
5,val,58.9,56,95,1.8995,0.5
5,val,63.2,60,95,1.8994,0.6
5,val,67.4,64,95,1.8997,0.6
5,val,71.6,68,95,1.8985,0.8
5,val,75.8,72,95,1.8978,0.8
5,val,80.0,76,95,1.8932,0.8
5,val,84.2,80,95,1.8928,0.8
5,val,88.4,84,95,1.8928,0.9
5,val,92.6,88,95,1.8925,1.0
5,val,96.8,92,95,1.8946,1.1
5,val,100.0,95,95,1.8957,1.1
6,train,4.8,21,438,1.9971,0.2
6,train,9.6,42,438,2.0058,0.4
6,train,14.4,63,438,2.0048,0.5
6,train,19.2,84,438,2.0038,0.6
6,train,24.0,105,438,2.002,0.7
6,train,28.8,126,438,2.0009,0.8
6,train,33.6,147,438,2.0006,1.0
6,train,38.4,168,438,1.9998,1.1
6,train,43.2,189,438,2.0013,1.3
6,train,47.9,210,438,2.0021,1.5
6,train,52.7,231,438,2.0022,1.7
6,train,57.5,252,438,2.0026,1.9
6,train,62.3,273,438,2.003,2.2
6,train,67.1,294,438,2.0025,2.3
6,train,71.9,315,438,2.0016,2.6
6,train,76.7,336,438,2.0021,2.8
6,train,81.5,357,438,2.0014,3.0
6,train,86.3,378,438,2.0017,3.3
6,train,91.1,399,438,2.0018,3.4
6,train,95.9,420,438,2.0013,3.5
6,train,100.0,438,438,2.0006,3.7
6,val,4.2,4,95,1.8458,0.2
6,val,8.4,8,95,1.8473,0.2
6,val,12.6,12,95,1.8482,0.2
6,val,16.8,16,95,1.847,0.2
6,val,21.1,20,95,1.8522,0.3
6,val,25.3,24,95,1.8516,0.3
6,val,29.5,28,95,1.8598,0.3
6,val,33.7,32,95,1.8587,0.3
6,val,37.9,36,95,1.8631,0.4
6,val,42.1,40,95,1.8643,0.4
6,val,46.3,44,95,1.8675,0.4
6,val,50.5,48,95,1.8711,0.4
6,val,54.7,52,95,1.8734,0.6
6,val,58.9,56,95,1.8675,0.6
6,val,63.2,60,95,1.8682,0.6
6,val,67.4,64,95,1.8677,0.6
6,val,71.6,68,95,1.8634,0.7
6,val,75.8,72,95,1.8633,0.7
6,val,80.0,76,95,1.8563,0.8
