epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,2.29,0.2057,1.9488,0.2287,0.2006,0.0002
2,2.0431,0.231,1.9187,0.2754,0.253,0.0002
3,2.0286,0.2463,1.9224,0.2697,0.244,0.0002
4,2.0173,0.2561,1.8792,0.2854,0.2383,0.0002
5,2.0083,0.266,1.8957,0.3054,0.2739,0.0002
6,2.0006,0.2722,1.8585,0.2833,0.2241,0.0002
7,1.9962,0.2792,1.8617,0.3023,0.2685,0.0002
8,1.9877,0.2831,1.8761,0.3042,0.2776,0.0002
9,1.9821,0.2864,1.8487,0.3136,0.2842,0.0002
10,1.9732,0.2976,1.8561,0.3001,0.2563,0.0002
11,1.9666,0.3029,1.8319,0.3035,0.2529,0.0002
12,1.9597,0.3087,1.8496,0.3192,0.2945,0.0002
13,1.953,0.3097,1.8579,0.3084,0.2988,0.0002
14,1.9447,0.3171,1.8556,0.3071,0.2864,0.0002
15,1.9346,0.3214,1.8261,0.321,0.2977,0.0002
16,1.9306,0.3272,1.8387,0.3314,0.3074,0.0002
17,1.9204,0.3339,1.8445,0.3187,0.3032,0.0002
18,1.9105,0.3382,1.8379,0.3161,0.2895,0.0002
19,1.8987,0.3444,1.832,0.3123,0.2929,0.0001
20,1.8695,0.3597,1.8293,0.3136,0.2984,0.0001
21,1.8568,0.365,1.8504,0.305,0.2933,0.0001
22,1.8469,0.3726,1.8496,0.3102,0.2954,0.0001
23,1.8369,0.3785,1.8485,0.3085,0.2929,5e-05
24,1.8097,0.3911,1.8553,0.3014,0.2904,5e-05
25,1.8056,0.3917,1.8681,0.2991,0.2889,5e-05
26,1.7975,0.3979,1.8742,0.297,0.2869,5e-05
27,1.7885,0.4016,1.8702,0.3046,0.2882,2.5e-05
28,1.7744,0.4103,1.8875,0.2984,0.2851,2.5e-05
29,1.77,0.4115,1.896,0.2947,0.2839,2.5e-05
30,1.7651,0.4151,1.8959,0.2946,0.2839,2.5e-05
