epoch,phase,pct,batch_idx,n_batches,cumulative_loss,elapsed_min
1,train,5.0,44,886,1.9101,0.1
1,train,9.9,88,886,1.903,0.2
1,train,14.9,132,886,1.896,0.3
1,train,19.9,176,886,1.8886,0.4
1,train,24.8,220,886,1.8816,0.5
1,train,29.8,264,886,1.8772,0.6
1,train,34.8,308,886,1.874,0.7
1,train,39.7,352,886,1.8677,0.8
1,train,44.7,396,886,1.8649,0.9
1,train,49.7,440,886,1.8629,1.0
1,train,54.6,484,886,1.8612,1.0
1,train,59.6,528,886,1.8596,1.1
1,train,64.6,572,886,1.8579,1.2
1,train,69.5,616,886,1.8556,1.3
1,train,74.5,660,886,1.8539,1.4
1,train,79.5,704,886,1.8527,1.5
1,train,84.4,748,886,1.8512,1.6
1,train,89.4,792,886,1.8497,1.7
1,train,94.4,836,886,1.8482,1.8
1,train,99.3,880,886,1.8468,1.9
1,train,100.0,886,886,1.8465,1.9
1,val,4.5,8,179,1.7486,0.0
1,val,8.9,16,179,1.7486,0.0
1,val,13.4,24,179,1.7576,0.1
1,val,17.9,32,179,1.7365,0.1
1,val,22.3,40,179,1.7414,0.1
1,val,26.8,48,179,1.7539,0.1
1,val,31.3,56,179,1.7555,0.1
1,val,35.8,64,179,1.7622,0.1
1,val,40.2,72,179,1.7642,0.2
1,val,44.7,80,179,1.7628,0.2
1,val,49.2,88,179,1.7568,0.2
1,val,53.6,96,179,1.758,0.2
1,val,58.1,104,179,1.7546,0.2
1,val,62.6,112,179,1.7556,0.2
1,val,67.0,120,179,1.7578,0.3
1,val,71.5,128,179,1.7582,0.3
1,val,76.0,136,179,1.7579,0.3
1,val,80.4,144,179,1.7586,0.3
1,val,84.9,152,179,1.7563,0.3
1,val,89.4,160,179,1.7552,0.3
1,val,93.9,168,179,1.758,0.4
1,val,98.3,176,179,1.7567,0.4
1,val,100.0,179,179,1.7561,0.4
2,train,5.0,44,886,1.8313,0.1
2,train,9.9,88,886,1.8247,0.2
2,train,14.9,132,886,1.819,0.3
2,train,19.9,176,886,1.8188,0.4
2,train,24.8,220,886,1.8171,0.5
2,train,29.8,264,886,1.8167,0.6
2,train,34.8,308,886,1.8173,0.6
2,train,39.7,352,886,1.8167,0.7
2,train,44.7,396,886,1.815,0.8
2,train,49.7,440,886,1.8146,0.9
2,train,54.6,484,886,1.8153,1.0
2,train,59.6,528,886,1.8155,1.1
2,train,64.6,572,886,1.8151,1.2
2,train,69.5,616,886,1.8153,1.3
2,train,74.5,660,886,1.8136,1.4
2,train,79.5,704,886,1.8139,1.5
2,train,84.4,748,886,1.8149,1.5
2,train,89.4,792,886,1.8146,1.6
2,train,94.4,836,886,1.8141,1.7
2,train,99.3,880,886,1.8136,1.8
2,train,100.0,886,886,1.8135,1.8
2,val,4.5,8,179,1.7441,0.0
2,val,8.9,16,179,1.7412,0.0
2,val,13.4,24,179,1.7562,0.1
2,val,17.9,32,179,1.739,0.1
2,val,22.3,40,179,1.7365,0.1
2,val,26.8,48,179,1.7523,0.1
2,val,31.3,56,179,1.7532,0.1
2,val,35.8,64,179,1.7557,0.1
2,val,40.2,72,179,1.7567,0.2
2,val,44.7,80,179,1.7605,0.2
2,val,49.2,88,179,1.7514,0.2
2,val,53.6,96,179,1.7536,0.2
2,val,58.1,104,179,1.7483,0.2
2,val,62.6,112,179,1.7466,0.2
2,val,67.0,120,179,1.7503,0.3
2,val,71.5,128,179,1.7498,0.3
2,val,76.0,136,179,1.7508,0.3
2,val,80.4,144,179,1.7497,0.3
2,val,84.9,152,179,1.7483,0.3
2,val,89.4,160,179,1.7476,0.3
2,val,93.9,168,179,1.7498,0.4
2,val,98.3,176,179,1.7466,0.4
2,val,100.0,179,179,1.7463,0.4
3,train,5.0,44,886,1.786,0.1
3,train,9.9,88,886,1.7905,0.2
3,train,14.9,132,886,1.7903,0.3
3,train,19.9,176,886,1.7913,0.4
3,train,24.8,220,886,1.7929,0.5
3,train,29.8,264,886,1.794,0.6
3,train,34.8,308,886,1.791,0.6
3,train,39.7,352,886,1.7907,0.7
3,train,44.7,396,886,1.7921,0.8
3,train,49.7,440,886,1.7931,0.9
3,train,54.6,484,886,1.7944,1.0
3,train,59.6,528,886,1.7939,1.1
3,train,64.6,572,886,1.7934,1.2
3,train,69.5,616,886,1.7939,1.3
3,train,74.5,660,886,1.7944,1.4
3,train,79.5,704,886,1.7955,1.5
3,train,84.4,748,886,1.7946,1.5
3,train,89.4,792,886,1.7954,1.6
3,train,94.4,836,886,1.796,1.7
3,train,99.3,880,886,1.7961,1.8
3,train,100.0,886,886,1.7961,1.8
3,val,4.5,8,179,1.7594,0.0
3,val,8.9,16,179,1.7635,0.0
3,val,13.4,24,179,1.7771,0.1
3,val,17.9,32,179,1.7669,0.1
3,val,22.3,40,179,1.7663,0.1
3,val,26.8,48,179,1.7754,0.1
3,val,31.3,56,179,1.767,0.1
3,val,35.8,64,179,1.7686,0.1
3,val,40.2,72,179,1.7652,0.2
3,val,44.7,80,179,1.7724,0.2
3,val,49.2,88,179,1.7674,0.2
3,val,53.6,96,179,1.7689,0.2
3,val,58.1,104,179,1.7651,0.2
3,val,62.6,112,179,1.765,0.2
3,val,67.0,120,179,1.7669,0.3
3,val,71.5,128,179,1.7662,0.3
3,val,76.0,136,179,1.7661,0.3
3,val,80.4,144,179,1.7648,0.3
3,val,84.9,152,179,1.7636,0.3
3,val,89.4,160,179,1.7641,0.3
3,val,93.9,168,179,1.7655,0.4
3,val,98.3,176,179,1.7626,0.4
3,val,100.0,179,179,1.7634,0.4
4,train,5.0,44,886,1.7742,0.1
4,train,9.9,88,886,1.7776,0.2
4,train,14.9,132,886,1.7784,0.3
4,train,19.9,176,886,1.7742,0.4
4,train,24.8,220,886,1.778,0.5
4,train,29.8,264,886,1.7796,0.5
4,train,34.8,308,886,1.7801,0.6
4,train,39.7,352,886,1.7805,0.7
4,train,44.7,396,886,1.7803,0.8
4,train,49.7,440,886,1.7798,0.9
4,train,54.6,484,886,1.7791,1.0
4,train,59.6,528,886,1.7778,1.1
4,train,64.6,572,886,1.7785,1.2
4,train,69.5,616,886,1.7793,1.3
4,train,74.5,660,886,1.7808,1.4
4,train,79.5,704,886,1.78,1.4
4,train,84.4,748,886,1.7794,1.5
4,train,89.4,792,886,1.7799,1.6
4,train,94.4,836,886,1.7799,1.7
4,train,99.3,880,886,1.7798,1.8
4,train,100.0,886,886,1.7797,1.8
4,val,4.5,8,179,1.7388,0.0
4,val,8.9,16,179,1.7346,0.0
4,val,13.4,24,179,1.7425,0.1
4,val,17.9,32,179,1.7202,0.1
4,val,22.3,40,179,1.7221,0.1
4,val,26.8,48,179,1.7315,0.1
4,val,31.3,56,179,1.731,0.1
4,val,35.8,64,179,1.739,0.1
4,val,40.2,72,179,1.7389,0.2
4,val,44.7,80,179,1.7409,0.2
4,val,49.2,88,179,1.7331,0.2
4,val,53.6,96,179,1.7376,0.2
4,val,58.1,104,179,1.7324,0.2
4,val,62.6,112,179,1.7319,0.2
4,val,67.0,120,179,1.7339,0.3
4,val,71.5,128,179,1.7345,0.3
4,val,76.0,136,179,1.7335,0.3
4,val,80.4,144,179,1.7332,0.3
4,val,84.9,152,179,1.7308,0.3
4,val,89.4,160,179,1.7305,0.3
4,val,93.9,168,179,1.7351,0.3
4,val,98.3,176,179,1.7321,0.4
4,val,100.0,179,179,1.7316,0.4
5,train,5.0,44,886,1.7509,0.1
5,train,9.9,88,886,1.7607,0.2
5,train,14.9,132,886,1.7628,0.3
5,train,19.9,176,886,1.7614,0.4
5,train,24.8,220,886,1.7614,0.5
5,train,29.8,264,886,1.7625,0.5
5,train,34.8,308,886,1.7606,0.6
5,train,39.7,352,886,1.7594,0.7
5,train,44.7,396,886,1.7593,0.8
5,train,49.7,440,886,1.7591,0.9
5,train,54.6,484,886,1.7602,1.0
5,train,59.6,528,886,1.7616,1.1
5,train,64.6,572,886,1.7618,1.2
5,train,69.5,616,886,1.7612,1.3
5,train,74.5,660,886,1.762,1.4
5,train,79.5,704,886,1.7631,1.4
5,train,84.4,748,886,1.7637,1.5
5,train,89.4,792,886,1.7644,1.6
5,train,94.4,836,886,1.7645,1.7
5,train,99.3,880,886,1.7637,1.8
5,train,100.0,886,886,1.7632,1.8
5,val,4.5,8,179,1.722,0.0
5,val,8.9,16,179,1.72,0.0
