epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.8465,0.2909,1.7561,0.2769,0.2603,0.0002
2,1.8135,0.3164,1.7463,0.3018,0.2915,0.0002
3,1.7961,0.3262,1.7634,0.2985,0.2952,0.0002
4,1.7797,0.34,1.7316,0.3072,0.2969,0.0002
5,1.7632,0.3494,1.7274,0.3083,0.2963,0.0002
6,1.7465,0.3598,1.7197,0.3141,0.3018,0.0002
7,1.7294,0.3716,1.7254,0.3113,0.3103,0.0002
8,1.7119,0.3801,1.7193,0.3174,0.2996,0.0002
9,1.6903,0.3931,1.7492,0.3064,0.2898,0.0002
10,1.6698,0.4046,1.7383,0.3114,0.3061,0.0002
11,1.648,0.4137,1.7546,0.3137,0.3031,0.0002
12,1.6239,0.4281,1.7614,0.316,0.303,0.0001
13,1.5565,0.4627,1.7745,0.3129,0.3109,0.0001
14,1.5253,0.4804,1.8322,0.2971,0.2982,0.0001
