epoch,phase,pct,batch_idx,n_batches,cumulative_loss,elapsed_min
1,train,5.0,44,886,1.9205,1.0
1,train,9.9,88,886,1.8921,1.8
1,train,14.9,132,886,1.8746,2.6
1,train,19.9,176,886,1.8597,3.4
1,train,24.8,220,886,1.8477,4.2
1,train,29.8,264,886,1.8399,5.0
1,train,34.8,308,886,1.8305,5.8
1,train,39.7,352,886,1.8226,6.6
1,train,44.7,396,886,1.8168,7.4
1,train,49.7,440,886,1.8109,8.2
1,train,54.6,484,886,1.8062,9.0
1,train,59.6,528,886,1.8033,9.8
1,train,64.6,572,886,1.7992,10.6
1,train,69.5,616,886,1.795,11.4
1,train,74.5,660,886,1.7926,12.2
1,train,79.5,704,886,1.7879,13.0
1,train,84.4,748,886,1.7846,13.9
1,train,89.4,792,886,1.7819,14.7
1,train,94.4,836,886,1.7794,15.5
1,train,99.3,880,886,1.7771,16.3
1,train,100.0,886,886,1.7768,16.4
1,val,4.5,8,179,1.6371,0.2
1,val,8.9,16,179,1.658,0.3
1,val,13.4,24,179,1.6478,0.5
1,val,17.9,32,179,1.6278,0.6
1,val,22.3,40,179,1.6305,0.8
1,val,26.8,48,179,1.6416,0.9
1,val,31.3,56,179,1.6433,1.0
1,val,35.8,64,179,1.6497,1.2
1,val,40.2,72,179,1.6522,1.3
1,val,44.7,80,179,1.6512,1.5
1,val,49.2,88,179,1.6401,1.6
1,val,53.6,96,179,1.6406,1.8
1,val,58.1,104,179,1.6346,1.9
1,val,62.6,112,179,1.6361,2.0
1,val,67.0,120,179,1.6406,2.2
1,val,71.5,128,179,1.6421,2.3
1,val,76.0,136,179,1.6429,2.5
1,val,80.4,144,179,1.6429,2.6
1,val,84.9,152,179,1.643,2.8
1,val,89.4,160,179,1.6426,2.9
1,val,93.9,168,179,1.6428,3.0
1,val,98.3,176,179,1.6418,3.2
1,val,100.0,179,179,1.6425,3.2
2,train,5.0,44,886,1.7001,0.8
2,train,9.9,88,886,1.7013,1.6
2,train,14.9,132,886,1.7,2.4
2,train,19.9,176,886,1.7036,3.2
2,train,24.8,220,886,1.7075,4.0
2,train,29.8,264,886,1.7092,4.9
2,train,34.8,308,886,1.7063,5.7
2,train,39.7,352,886,1.706,6.5
2,train,44.7,396,886,1.7069,7.3
2,train,49.7,440,886,1.7073,8.1
