epoch,phase,pct,batch_idx,n_batches,cumulative_loss,elapsed_min
1,train,4.8,21,438,2.0371,0.2
1,train,9.6,42,438,1.9807,0.3
1,train,14.4,63,438,1.9514,0.4
1,train,19.2,84,438,1.9367,0.5
1,train,24.0,105,438,1.9262,0.6
1,train,28.8,126,438,1.9165,0.8
1,train,33.6,147,438,1.9085,0.9
1,train,38.4,168,438,1.9011,1.0
1,train,43.2,189,438,1.8971,1.3
1,train,47.9,210,438,1.8962,1.4
1,train,52.7,231,438,1.8923,1.5
1,train,57.5,252,438,1.8891,1.6
1,train,62.3,273,438,1.8862,1.7
1,train,67.1,294,438,1.8813,1.8
1,train,71.9,315,438,1.8786,2.0
1,train,76.7,336,438,1.8775,2.1
1,train,81.5,357,438,1.8758,2.2
1,train,86.3,378,438,1.8756,2.3
1,train,91.1,399,438,1.8743,2.7
1,train,95.9,420,438,1.8732,2.8
1,train,100.0,438,438,1.8721,2.9
1,val,4.2,4,95,1.6537,0.1
1,val,8.4,8,95,1.6586,0.1
1,val,12.6,12,95,1.6556,0.2
1,val,16.8,16,95,1.6452,0.2
1,val,21.1,20,95,1.635,0.2
1,val,25.3,24,95,1.6414,0.2
1,val,29.5,28,95,1.6464,0.3
1,val,33.7,32,95,1.6441,0.3
1,val,37.9,36,95,1.652,0.5
1,val,42.1,40,95,1.6567,0.5
1,val,46.3,44,95,1.6542,0.6
1,val,50.5,48,95,1.6498,0.6
1,val,54.7,52,95,1.6498,0.6
1,val,58.9,56,95,1.6449,0.6
1,val,63.2,60,95,1.6522,0.7
1,val,67.4,64,95,1.65,0.7
1,val,71.6,68,95,1.6497,0.7
1,val,75.8,72,95,1.6506,0.7
1,val,80.0,76,95,1.6444,0.8
1,val,84.2,80,95,1.6477,0.8
1,val,88.4,84,95,1.6459,0.8
1,val,92.6,88,95,1.6466,0.8
1,val,96.8,92,95,1.6485,0.9
1,val,100.0,95,95,1.6481,0.9
2,train,4.8,21,438,1.793,0.2
2,train,9.6,42,438,1.7953,0.3
2,train,14.4,63,438,1.8037,0.4
2,train,19.2,84,438,1.8059,0.5
2,train,24.0,105,438,1.8052,0.7
2,train,28.8,126,438,1.8057,0.9
2,train,33.6,147,438,1.8037,1.0
2,train,38.4,168,438,1.8032,1.1
2,train,43.2,189,438,1.8062,1.5
2,train,47.9,210,438,1.8071,1.6
2,train,52.7,231,438,1.8055,1.7
2,train,57.5,252,438,1.8069,2.0
2,train,62.3,273,438,1.8083,2.1
2,train,67.1,294,438,1.8085,2.3
2,train,71.9,315,438,1.8084,2.5
2,train,76.7,336,438,1.8088,2.6
2,train,81.5,357,438,1.8079,2.8
2,train,86.3,378,438,1.8057,2.9
2,train,91.1,399,438,1.8061,3.1
2,train,95.9,420,438,1.8062,3.2
2,train,100.0,438,438,1.806,3.4
2,val,4.2,4,95,1.6816,0.2
2,val,8.4,8,95,1.6806,0.2
2,val,12.6,12,95,1.6702,0.2
2,val,16.8,16,95,1.6421,0.2
2,val,21.1,20,95,1.6325,0.3
2,val,25.3,24,95,1.6351,0.3
2,val,29.5,28,95,1.6402,0.3
2,val,33.7,32,95,1.647,0.3
2,val,37.9,36,95,1.6576,0.4
2,val,42.1,40,95,1.6651,0.4
2,val,46.3,44,95,1.6639,0.6
2,val,50.5,48,95,1.659,0.6
2,val,54.7,52,95,1.6578,0.6
2,val,58.9,56,95,1.6553,0.6
2,val,63.2,60,95,1.6614,0.6
2,val,67.4,64,95,1.6584,0.6
2,val,71.6,68,95,1.6567,0.7
2,val,75.8,72,95,1.6563,0.7
2,val,80.0,76,95,1.6511,0.7
2,val,84.2,80,95,1.6541,0.7
2,val,88.4,84,95,1.6521,0.8
2,val,92.6,88,95,1.6546,0.8
2,val,96.8,92,95,1.6555,0.8
2,val,100.0,95,95,1.6554,0.8
3,train,4.8,21,438,1.7606,0.3
3,train,9.6,42,438,1.7523,0.4
3,train,14.4,63,438,1.7559,0.5
3,train,19.2,84,438,1.7571,0.7
3,train,24.0,105,438,1.7584,0.9
3,train,28.8,126,438,1.7596,1.0
3,train,33.6,147,438,1.7618,1.2
3,train,38.4,168,438,1.7624,1.3
3,train,43.2,189,438,1.7604,1.6
3,train,47.9,210,438,1.7593,1.8
3,train,52.7,231,438,1.7595,1.9
3,train,57.5,252,438,1.7603,2.1
3,train,62.3,273,438,1.7609,2.2
3,train,67.1,294,438,1.7618,2.5
3,train,71.9,315,438,1.7624,2.6
3,train,76.7,336,438,1.7626,2.9
3,train,81.5,357,438,1.7629,3.3
3,train,86.3,378,438,1.7637,3.4
3,train,91.1,399,438,1.7635,3.6
3,train,95.9,420,438,1.7633,3.7
3,train,100.0,438,438,1.7636,3.9
3,val,4.2,4,95,1.6245,0.2
3,val,8.4,8,95,1.6476,0.2
3,val,12.6,12,95,1.6465,0.3
3,val,16.8,16,95,1.6116,0.3
3,val,21.1,20,95,1.6035,0.3
3,val,25.3,24,95,1.6103,0.3
3,val,29.5,28,95,1.6165,0.5
3,val,33.7,32,95,1.6206,0.5
3,val,37.9,36,95,1.6332,0.5
3,val,42.1,40,95,1.6437,0.5
3,val,46.3,44,95,1.6395,0.7
3,val,50.5,48,95,1.6337,0.7
3,val,54.7,52,95,1.6373,0.7
3,val,58.9,56,95,1.642,0.7
3,val,63.2,60,95,1.6509,0.8
3,val,67.4,64,95,1.6466,0.8
3,val,71.6,68,95,1.6433,1.0
3,val,75.8,72,95,1.6425,1.0
3,val,80.0,76,95,1.6348,1.0
