epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.8721,0.3606,1.6481,0.3921,0.3837,0.0002
2,1.806,0.39,1.6554,0.3774,0.3671,0.0002
3,1.7636,0.4082,1.6407,0.3935,0.3787,0.0002
4,1.7191,0.4275,1.6526,0.3822,0.3782,0.0002
5,1.6707,0.4477,1.6405,0.3954,0.3796,0.0002
6,1.6136,0.473,1.6615,0.3837,0.3637,0.0002
7,1.5487,0.5073,1.7176,0.3628,0.3595,0.0002
8,1.4789,0.5411,1.7524,0.3739,0.3704,0.0002
9,1.4092,0.5753,1.784,0.373,0.3652,0.0001
10,1.2478,0.6531,1.9056,0.3609,0.36,0.0001
11,1.1601,0.6963,1.9111,0.3635,0.361,0.0001
12,1.104,0.7225,1.984,0.3607,0.3609,0.0001
13,1.0574,0.7465,2.0067,0.3689,0.3631,5e-05
14,0.9686,0.7901,2.1189,0.3579,0.3557,5e-05
15,0.9322,0.8082,2.1144,0.3545,0.3517,5e-05
16,0.9051,0.8224,2.15,0.3551,0.3502,5e-05
17,0.885,0.8318,2.187,0.3563,0.3537,2.5e-05
18,0.8476,0.852,2.2243,0.3567,0.3556,2.5e-05
19,0.8332,0.8591,2.239,0.3561,0.3556,2.5e-05
20,0.8201,0.8646,2.2538,0.3553,0.3526,2.5e-05
21,0.8115,0.8686,2.2472,0.3527,0.3517,1.25e-05
22,0.7943,0.8777,2.2788,0.3566,0.3544,1.25e-05
23,0.7899,0.8792,2.2758,0.355,0.3535,1.25e-05
24,0.7848,0.8805,2.2925,0.3531,0.3512,1.25e-05
25,0.7776,0.8846,2.2961,0.3585,0.3559,6.25e-06
26,0.7712,0.889,2.3028,0.3559,0.3545,6.25e-06
27,0.7677,0.8899,2.3072,0.3557,0.3533,6.25e-06
28,0.7661,0.8909,2.3089,0.3559,0.3537,6.25e-06
29,0.7624,0.8931,2.3111,0.3545,0.353,3.13e-06
30,0.7579,0.8948,2.3225,0.353,0.3514,3.13e-06
