epoch,phase,pct,batch_idx,n_batches,cumulative_loss,elapsed_min
1,train,4.8,21,438,2.1005,0.3
1,train,9.6,42,438,2.1057,0.4
1,train,14.4,63,438,2.1019,0.5
1,train,19.2,84,438,2.0999,0.6
1,train,24.0,105,438,2.0973,0.8
1,train,28.8,126,438,2.0951,0.9
1,train,33.6,147,438,2.0935,1.0
1,train,38.4,168,438,2.0933,1.5
1,train,43.2,189,438,2.0923,1.7
1,train,47.9,210,438,2.0906,1.8
1,train,52.7,231,438,2.0901,1.9
1,train,57.5,252,438,2.0892,2.1
1,train,62.3,273,438,2.0885,2.2
1,train,67.1,294,438,2.0881,2.4
1,train,71.9,315,438,2.0873,2.6
1,train,76.7,336,438,2.0868,2.8
1,train,81.5,357,438,2.0862,3.2
1,train,86.3,378,438,2.0856,3.4
1,train,91.1,399,438,2.085,3.7
1,train,95.9,420,438,2.0847,3.8
1,train,100.0,438,438,2.0844,3.9
1,val,4.2,4,95,1.921,0.3
1,val,8.4,8,95,1.9433,0.3
1,val,12.6,12,95,1.9664,0.4
1,val,16.8,16,95,1.9746,0.4
1,val,21.1,20,95,1.9799,0.4
1,val,25.3,24,95,1.9817,0.5
1,val,29.5,28,95,1.9854,0.5
1,val,33.7,32,95,1.9856,0.5
1,val,37.9,36,95,1.987,0.5
1,val,42.1,40,95,1.9884,0.5
1,val,46.3,44,95,1.987,0.6
1,val,50.5,48,95,1.9882,0.6
1,val,54.7,52,95,1.9916,0.8
1,val,58.9,56,95,1.9835,0.8
1,val,63.2,60,95,1.9825,0.8
1,val,67.4,64,95,1.9839,0.8
1,val,71.6,68,95,1.9819,0.9
1,val,75.8,72,95,1.9802,0.9
1,val,80.0,76,95,1.9779,0.9
1,val,84.2,80,95,1.979,0.9
1,val,88.4,84,95,1.9767,1.0
1,val,92.6,88,95,1.9772,1.0
1,val,96.8,92,95,1.9779,1.0
1,val,100.0,95,95,1.9779,1.0
2,train,4.8,21,438,2.0673,0.2
2,train,9.6,42,438,2.0727,0.3
2,train,14.4,63,438,2.0734,0.4
2,train,19.2,84,438,2.0734,0.5
2,train,24.0,105,438,2.072,0.6
2,train,28.8,126,438,2.0734,0.7
2,train,33.6,147,438,2.0727,0.9
2,train,38.4,168,438,2.0711,1.0
2,train,43.2,189,438,2.071,1.1
2,train,47.9,210,438,2.071,1.3
2,train,52.7,231,438,2.0715,1.4
2,train,57.5,252,438,2.0716,1.5
2,train,62.3,273,438,2.0716,1.7
2,train,67.1,294,438,2.072,1.8
2,train,71.9,315,438,2.0719,2.0
2,train,76.7,336,438,2.0716,2.1
2,train,81.5,357,438,2.0719,2.3
2,train,86.3,378,438,2.0718,2.5
2,train,91.1,399,438,2.0715,2.7
2,train,95.9,420,438,2.0714,2.8
2,train,100.0,438,438,2.0713,3.0
2,val,4.2,4,95,1.9089,0.3
2,val,8.4,8,95,1.9341,0.3
2,val,12.6,12,95,1.9519,0.4
2,val,16.8,16,95,1.9507,0.4
2,val,21.1,20,95,1.9516,0.4
2,val,25.3,24,95,1.9539,0.4
2,val,29.5,28,95,1.957,0.4
2,val,33.7,32,95,1.9584,0.5
2,val,37.9,36,95,1.9607,0.5
2,val,42.1,40,95,1.9658,0.5
2,val,46.3,44,95,1.9664,0.5
2,val,50.5,48,95,1.9693,0.5
2,val,54.7,52,95,1.9727,0.6
2,val,58.9,56,95,1.966,0.6
2,val,63.2,60,95,1.9662,0.6
2,val,67.4,64,95,1.9681,0.6
2,val,71.6,68,95,1.9676,0.7
2,val,75.8,72,95,1.9664,0.7
2,val,80.0,76,95,1.9637,0.7
2,val,84.2,80,95,1.9647,0.7
2,val,88.4,84,95,1.9628,0.8
2,val,92.6,88,95,1.9632,0.8
