epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,2.0844,0.222,1.9779,0.2335,0.1736,0.0002
2,2.0713,0.2316,1.964,0.2403,0.1604,0.0002
3,2.0663,0.2341,1.9682,0.228,0.1747,0.0002
4,2.0623,0.2327,1.9624,0.239,0.1723,0.0002
5,2.0543,0.239,1.9778,0.2388,0.1931,0.0002
6,2.0477,0.239,1.9696,0.2188,0.1977,0.0002
7,2.0358,0.2436,1.9862,0.2053,0.1744,0.0002
8,2.0235,0.2464,1.9904,0.2188,0.2029,0.0001
9,1.9948,0.2574,1.9931,0.2091,0.2025,0.0001
10,1.9788,0.2699,2.0066,0.2062,0.1958,0.0001
11,1.965,0.2733,1.9931,0.2193,0.206,0.0001
12,1.9502,0.2833,2.025,0.2094,0.2016,5e-05
13,1.925,0.294,2.0225,0.2167,0.2104,5e-05
14,1.9138,0.3017,2.0289,0.2083,0.2042,5e-05
15,1.9022,0.3095,2.0501,0.2006,0.1997,5e-05
16,1.893,0.316,2.0268,0.2105,0.2056,2.5e-05
17,1.8733,0.3289,2.0488,0.2097,0.2089,2.5e-05
18,1.8657,0.3292,2.0503,0.2116,0.2094,2.5e-05
19,1.8603,0.3351,2.0522,0.2142,0.2138,2.5e-05
20,1.8544,0.3385,2.0562,0.2152,0.2134,1.25e-05
21,1.8431,0.3454,2.0702,0.2155,0.2159,1.25e-05
22,1.8415,0.3454,2.0678,0.215,0.2138,1.25e-05
23,1.8346,0.3497,2.0651,0.2166,0.2162,1.25e-05
24,1.8333,0.3504,2.0602,0.217,0.2157,6.25e-06
25,1.8272,0.3525,2.0707,0.2152,0.2148,6.25e-06
26,1.8253,0.3544,2.0783,0.2155,0.2155,6.25e-06
27,1.8225,0.357,2.0774,0.2123,0.2129,6.25e-06
28,1.8215,0.3557,2.0753,0.217,0.2168,3.13e-06
29,1.8182,0.3589,2.0787,0.2157,0.2159,3.13e-06
30,1.8189,0.3585,2.0818,0.2142,0.2143,3.13e-06
