epoch,phase,pct,batch_idx,n_batches,cumulative_loss,elapsed_min
1,train,4.8,21,438,2.1078,0.4
1,train,9.6,42,438,2.1005,0.5
1,train,14.4,63,438,2.0946,0.6
1,train,19.2,84,438,2.0937,0.8
1,train,24.0,105,438,2.091,0.9
1,train,28.8,126,438,2.0858,1.1
1,train,33.6,147,438,2.0829,1.2
1,train,38.4,168,438,2.0798,1.4
1,train,43.2,189,438,2.0777,1.5
1,train,47.9,210,438,2.0763,1.9
1,train,52.7,231,438,2.0749,2.0
1,train,57.5,252,438,2.0727,2.3
1,train,62.3,273,438,2.0699,2.5
1,train,67.1,294,438,2.0686,2.7
1,train,71.9,315,438,2.0667,3.3
1,train,76.7,336,438,2.0648,3.5
1,train,81.5,357,438,2.0635,3.7
1,train,86.3,378,438,2.0615,3.8
1,train,91.1,399,438,2.0598,4.0
1,train,95.9,420,438,2.0588,4.2
1,train,100.0,438,438,2.0574,4.4
1,val,4.2,4,95,1.9675,0.3
1,val,8.4,8,95,1.9539,0.3
1,val,12.6,12,95,1.9713,0.3
1,val,16.8,16,95,1.9627,0.3
1,val,21.1,20,95,1.9654,0.4
1,val,25.3,24,95,1.9579,0.4
1,val,29.5,28,95,1.9638,0.4
1,val,33.7,32,95,1.9618,0.4
1,val,37.9,36,95,1.9617,0.5
1,val,42.1,40,95,1.9684,0.5
1,val,46.3,44,95,1.9701,0.7
1,val,50.5,48,95,1.9711,0.7
1,val,54.7,52,95,1.9723,0.8
1,val,58.9,56,95,1.9707,0.8
1,val,63.2,60,95,1.9736,0.8
1,val,67.4,64,95,1.9723,0.8
1,val,71.6,68,95,1.9674,0.9
1,val,75.8,72,95,1.9675,0.9
1,val,80.0,76,95,1.964,0.9
1,val,84.2,80,95,1.9662,0.9
1,val,88.4,84,95,1.9645,1.1
1,val,92.6,88,95,1.9649,1.1
1,val,96.8,92,95,1.9662,1.1
1,val,100.0,95,95,1.9671,1.1
2,train,4.8,21,438,1.9767,0.2
2,train,9.6,42,438,1.9809,0.3
2,train,14.4,63,438,1.9825,0.4
2,train,19.2,84,438,1.9799,0.5
2,train,24.0,105,438,1.9782,0.6
2,train,28.8,126,438,1.9773,0.9
2,train,33.6,147,438,1.9786,1.0
2,train,38.4,168,438,1.9831,1.2
2,train,43.2,189,438,1.9825,1.3
2,train,47.9,210,438,1.9811,1.5
2,train,52.7,231,438,1.9811,1.8
2,train,57.5,252,438,1.9804,2.0
2,train,62.3,273,438,1.9787,3.4
2,train,67.1,294,438,1.9775,3.6
2,train,71.9,315,438,1.9766,3.7
2,train,76.7,336,438,1.9745,3.9
2,train,81.5,357,438,1.9725,4.0
2,train,86.3,378,438,1.9715,4.2
2,train,91.1,399,438,1.9705,4.4
2,train,95.9,420,438,1.9699,4.9
2,train,100.0,438,438,1.968,5.0
2,val,4.2,4,95,1.9459,0.2
2,val,8.4,8,95,1.9289,0.2
2,val,12.6,12,95,1.9945,0.3
2,val,16.8,16,95,1.9831,0.3
2,val,21.1,20,95,1.9779,0.3
2,val,25.3,24,95,1.9767,0.3
2,val,29.5,28,95,1.989,0.4
2,val,33.7,32,95,1.9844,0.4
2,val,37.9,36,95,1.9875,0.4
2,val,42.1,40,95,1.9971,0.4
2,val,46.3,44,95,2.0013,0.5
2,val,50.5,48,95,2.009,0.5
2,val,54.7,52,95,2.0044,0.5
2,val,58.9,56,95,2.0004,0.5
2,val,63.2,60,95,2.0056,0.6
2,val,67.4,64,95,2.0054,0.6
2,val,71.6,68,95,2.0001,0.6
2,val,75.8,72,95,1.9982,0.6
2,val,80.0,76,95,1.9941,0.7
2,val,84.2,80,95,1.9965,0.7
2,val,88.4,84,95,1.9928,0.7
2,val,92.6,88,95,1.993,0.7
2,val,96.8,92,95,1.992,0.8
2,val,100.0,95,95,1.9918,0.8
3,train,4.8,21,438,1.8842,0.3
3,train,9.6,42,438,1.8699,0.4
3,train,14.4,63,438,1.8709,0.6
3,train,19.2,84,438,1.8747,0.7
3,train,24.0,105,438,1.8759,0.9
3,train,28.8,126,438,1.8787,1.1
3,train,33.6,147,438,1.8772,1.2
3,train,38.4,168,438,1.8762,1.5
3,train,43.2,189,438,1.8756,1.6
3,train,47.9,210,438,1.8749,1.8
3,train,52.7,231,438,1.875,1.9
3,train,57.5,252,438,1.8736,2.1
3,train,62.3,273,438,1.8725,2.3
3,train,67.1,294,438,1.8718,2.6
3,train,71.9,315,438,1.869,2.8
3,train,76.7,336,438,1.8676,2.9
3,train,81.5,357,438,1.8666,3.1
3,train,86.3,378,438,1.8671,3.3
3,train,91.1,399,438,1.8659,3.4
3,train,95.9,420,438,1.8657,3.7
3,train,100.0,438,438,1.865,3.8
3,val,4.2,4,95,2.0205,0.3
3,val,8.4,8,95,1.9685,0.3
3,val,12.6,12,95,2.0051,0.3
3,val,16.8,16,95,1.9984,0.3
3,val,21.1,20,95,1.991,0.5
3,val,25.3,24,95,1.9894,0.6
3,val,29.5,28,95,2.0062,0.6
3,val,33.7,32,95,2.0069,0.6
3,val,37.9,36,95,2.0022,0.6
3,val,42.1,40,95,2.001,0.7
3,val,46.3,44,95,2.0023,0.8
3,val,50.5,48,95,2.0121,0.8
3,val,54.7,52,95,2.0053,0.9
