epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,2.0574,0.2462,1.9671,0.2329,0.2116,0.0002
2,1.968,0.2957,1.9918,0.2244,0.22,0.0002
3,1.865,0.3492,1.9882,0.2389,0.2309,0.0002
4,1.7696,0.3985,2.0386,0.2293,0.2243,0.0002
5,1.6822,0.4482,2.0645,0.2326,0.23,0.0001
6,1.5426,0.5172,2.1436,0.2363,0.2307,0.0001
7,1.4815,0.5498,2.1865,0.2332,0.2286,0.0001
8,1.4302,0.5763,2.203,0.2344,0.2327,0.0001
9,1.3843,0.6004,2.2456,0.2313,0.2282,5e-05
10,1.2975,0.6458,2.3209,0.2297,0.2287,5e-05
11,1.2663,0.6597,2.3332,0.2323,0.229,5e-05
12,1.2435,0.6726,2.3738,0.2288,0.2257,5e-05
13,1.2182,0.6848,2.3912,0.2286,0.2256,2.5e-05
14,1.1725,0.7086,2.444,0.2273,0.2248,2.5e-05
15,1.1585,0.7135,2.4604,0.2286,0.2253,2.5e-05
16,1.1461,0.7213,2.468,0.2295,0.2253,2.5e-05
17,1.133,0.7284,2.5094,0.2286,0.225,1.25e-05
18,1.1102,0.7421,2.5208,0.2273,0.2243,1.25e-05
19,1.1029,0.7434,2.5155,0.2318,0.2271,1.25e-05
20,1.0952,0.7466,2.5289,0.2318,0.2271,1.25e-05
21,1.0914,0.7497,2.547,0.2281,0.2244,6.25e-06
22,1.0774,0.7562,2.5557,0.2286,0.2249,6.25e-06
23,1.0755,0.7584,2.5594,0.2287,0.2253,6.25e-06
24,1.0723,0.7597,2.5652,0.2289,0.2253,6.25e-06
25,1.0707,0.7583,2.5664,0.2288,0.2249,3.13e-06
26,1.0635,0.7646,2.5749,0.2292,0.2255,3.13e-06
27,1.0616,0.765,2.581,0.2291,0.2252,3.13e-06
28,1.0601,0.7661,2.5888,0.2279,0.2247,3.13e-06
29,1.0561,0.7679,2.5898,0.229,0.2254,1.56e-06
30,1.0575,0.7656,2.5906,0.2281,0.2248,1.56e-06
