epoch,phase,pct,batch_idx,n_batches,cumulative_loss,elapsed_min
1,train,4.9,20,406,2.1098,8.2
1,train,9.9,40,406,2.1003,13.8
1,train,14.8,60,406,2.086,21.4
1,train,19.7,80,406,2.0815,26.9
1,train,24.6,100,406,2.0748,34.7
1,train,29.6,120,406,2.0662,40.3
1,train,34.5,140,406,2.0595,48.3
1,train,39.4,160,406,2.0553,53.5
1,train,44.3,180,406,2.053,61.2
1,train,49.3,200,406,2.0493,66.6
1,train,54.2,220,406,2.0472,74.3
1,train,59.1,240,406,2.0439,79.7
1,train,64.0,260,406,2.0413,88.0
1,train,69.0,280,406,2.0392,93.8
1,train,73.9,300,406,2.0371,102.1
1,train,78.8,320,406,2.0353,107.8
1,train,83.7,340,406,2.0329,116.1
1,train,88.7,360,406,2.0304,121.6
1,train,93.6,380,406,2.0285,129.6
1,train,98.5,400,406,2.0268,135.2
1,train,100.0,406,406,2.0264,137.4
1,val,4.7,4,86,1.9496,3.3
1,val,9.3,8,86,1.9422,3.3
1,val,14.0,12,86,1.934,6.1
1,val,18.6,16,86,1.9365,6.1
1,val,23.3,20,86,1.9467,8.8
1,val,27.9,24,86,1.9226,8.9
1,val,32.6,28,86,1.907,12.0
1,val,37.2,32,86,1.9024,12.4
1,val,41.9,36,86,1.8946,14.9
1,val,46.5,40,86,1.8927,15.1
1,val,51.2,44,86,1.8926,17.9
1,val,55.8,48,86,1.8916,17.9
1,val,60.5,52,86,1.8972,20.4
1,val,65.1,56,86,1.8978,20.4
1,val,69.8,60,86,1.8961,23.0
1,val,74.4,64,86,1.8999,23.6
1,val,79.1,68,86,1.8946,25.9
1,val,83.7,72,86,1.8981,26.4
1,val,88.4,76,86,1.8979,28.3
1,val,93.0,80,86,1.8953,29.4
1,val,97.7,84,86,1.8995,30.7
1,val,100.0,86,86,1.898,31.1
2,train,4.9,20,406,1.9868,0.3
2,train,9.9,40,406,1.9869,0.5
2,train,14.8,60,406,1.9883,0.6
2,train,19.7,80,406,1.9866,0.7
2,train,24.6,100,406,1.9876,1.0
2,train,29.6,120,406,1.9884,1.1
2,train,34.5,140,406,1.9883,1.3
2,train,39.4,160,406,1.9875,1.7
2,train,44.3,180,406,1.9862,1.8
2,train,49.3,200,406,1.9838,2.3
2,train,54.2,220,406,1.9835,2.4
2,train,59.1,240,406,1.9837,2.5
2,train,64.0,260,406,1.983,2.8
2,train,69.0,280,406,1.9829,3.3
2,train,73.9,300,406,1.9825,3.5
2,train,78.8,320,406,1.9826,3.6
2,train,83.7,340,406,1.982,4.1
2,train,88.7,360,406,1.9818,4.5
2,train,93.6,380,406,1.982,4.9
2,train,98.5,400,406,1.9816,5.0
2,train,100.0,406,406,1.9815,5.1
2,val,4.7,4,86,1.8734,0.2
2,val,9.3,8,86,1.841,0.2
2,val,14.0,12,86,1.8454,0.3
2,val,18.6,16,86,1.8599,0.3
2,val,23.3,20,86,1.8702,0.3
2,val,27.9,24,86,1.8586,0.3
2,val,32.6,28,86,1.8509,0.4
2,val,37.2,32,86,1.8523,0.4
2,val,41.9,36,86,1.8513,0.4
2,val,46.5,40,86,1.8523,0.4
2,val,51.2,44,86,1.8543,0.5
2,val,55.8,48,86,1.8612,0.5
2,val,60.5,52,86,1.8638,0.5
2,val,65.1,56,86,1.8646,0.5
2,val,69.8,60,86,1.8637,0.6
2,val,74.4,64,86,1.8641,0.6
2,val,79.1,68,86,1.8547,0.6
