epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,2.0264,0.2923,1.898,0.295,0.2548,0.0002
2,1.9815,0.318,1.8605,0.3011,0.2581,0.0002
3,1.9615,0.3222,1.8335,0.3183,0.272,0.0002
4,1.9495,0.33,1.8267,0.3138,0.279,0.0002
5,1.9376,0.3329,1.8201,0.3312,0.3113,0.0002
6,1.9287,0.3387,1.8117,0.3308,0.3112,0.0002
7,1.9183,0.3414,1.8077,0.3453,0.3156,0.0002
8,1.9089,0.3472,1.7989,0.3341,0.3146,0.0002
9,1.9014,0.351,1.7993,0.3256,0.3165,0.0002
10,1.8952,0.352,1.8019,0.3229,0.3084,0.0002
11,1.8841,0.3568,1.7878,0.329,0.3171,0.0002
12,1.875,0.3627,1.7845,0.3269,0.3113,0.0002
13,1.8662,0.3676,1.8213,0.3159,0.3096,0.0002
14,1.8548,0.3705,1.791,0.3333,0.3246,0.0002
15,1.8498,0.3728,1.7792,0.3473,0.3261,0.0002
16,1.8375,0.3775,1.7668,0.3559,0.3304,0.0002
17,1.8283,0.3835,1.7958,0.3288,0.3206,0.0002
18,1.8165,0.3878,1.7769,0.3416,0.3274,0.0002
19,1.804,0.3923,1.7843,0.3342,0.3259,0.0002
20,1.7961,0.3963,1.8104,0.3156,0.3135,0.0001
21,1.7559,0.4146,1.7963,0.3304,0.3271,0.0001
22,1.7417,0.4208,1.8085,0.3249,0.3223,0.0001
23,1.7305,0.4244,1.8237,0.3244,0.3245,0.0001
24,1.7209,0.428,1.8172,0.3278,0.3258,5e-05
25,1.6923,0.4427,1.8192,0.3292,0.3264,5e-05
26,1.6813,0.4467,1.8412,0.3194,0.3202,5e-05
27,1.6721,0.4509,1.8367,0.3242,0.322,5e-05
28,1.6637,0.4562,1.8458,0.3272,0.322,2.5e-05
29,1.6488,0.4621,1.8446,0.322,0.3207,2.5e-05
30,1.6411,0.4653,1.8499,0.3207,0.3206,2.5e-05
