epoch,phase,pct,batch_idx,n_batches,cumulative_loss,elapsed_min
1,train,5.0,22,443,1.9211,1.1
1,train,9.9,44,443,1.8717,2.1
1,train,14.9,66,443,1.84,3.1
1,train,19.9,88,443,1.8185,4.1
1,train,24.8,110,443,1.8036,5.1
1,train,29.8,132,443,1.7901,6.0
1,train,34.8,154,443,1.778,7.0
1,train,39.7,176,443,1.7677,8.0
1,train,44.7,198,443,1.7589,9.0
1,train,49.7,220,443,1.7503,10.0
1,train,54.6,242,443,1.7431,10.9
1,train,59.6,264,443,1.7377,11.9
1,train,64.6,286,443,1.7322,12.9
1,train,69.5,308,443,1.7284,13.9
1,train,74.5,330,443,1.7238,14.9
1,train,79.5,352,443,1.7195,15.9
1,train,84.4,374,443,1.7157,16.8
1,train,89.4,396,443,1.7123,17.8
1,train,94.4,418,443,1.7088,18.8
1,train,99.3,440,443,1.7066,19.8
1,train,100.0,443,443,1.7064,19.9
1,val,4.4,4,90,1.5089,0.2
1,val,8.9,8,90,1.4834,0.4
1,val,13.3,12,90,1.4935,0.6
1,val,17.8,16,90,1.4757,0.7
1,val,22.2,20,90,1.4809,0.9
1,val,26.7,24,90,1.5062,1.1
1,val,31.1,28,90,1.5046,1.2
1,val,35.6,32,90,1.5151,1.4
1,val,40.0,36,90,1.5283,1.6
1,val,44.4,40,90,1.5337,1.8
1,val,48.9,44,90,1.5283,1.9
1,val,53.3,48,90,1.5403,2.1
1,val,57.8,52,90,1.5421,2.3
1,val,62.2,56,90,1.5373,2.4
1,val,66.7,60,90,1.5372,2.6
1,val,71.1,64,90,1.5336,2.8
1,val,75.6,68,90,1.5313,3.0
1,val,80.0,72,90,1.5334,3.1
1,val,84.4,76,90,1.532,3.3
1,val,88.9,80,90,1.5302,3.5
1,val,93.3,84,90,1.5322,3.7
1,val,97.8,88,90,1.5313,3.8
1,val,100.0,90,90,1.5286,3.9
2,train,5.0,22,443,1.6601,1.0
2,train,9.9,44,443,1.6473,2.0
2,train,14.9,66,443,1.6466,3.0
2,train,19.9,88,443,1.648,4.0
2,train,24.8,110,443,1.6432,4.9
2,train,29.8,132,443,1.6445,5.9
2,train,34.8,154,443,1.643,6.9
2,train,39.7,176,443,1.6409,7.9
2,train,44.7,198,443,1.6409,8.9
2,train,49.7,220,443,1.6395,9.9
2,train,54.6,242,443,1.6369,10.8
2,train,59.6,264,443,1.6372,11.8
2,train,64.6,286,443,1.637,12.8
2,train,69.5,308,443,1.6354,13.8
2,train,74.5,330,443,1.6357,14.8
2,train,79.5,352,443,1.6352,15.7
2,train,84.4,374,443,1.635,16.7
2,train,89.4,396,443,1.6346,17.7
2,train,94.4,418,443,1.6337,18.7
2,train,99.3,440,443,1.6333,19.7
2,train,100.0,443,443,1.6332,19.8
2,val,4.4,4,90,1.565,0.2
2,val,8.9,8,90,1.5032,0.4
2,val,13.3,12,90,1.4793,0.6
2,val,17.8,16,90,1.47,0.7
2,val,22.2,20,90,1.4793,0.9
2,val,26.7,24,90,1.5031,1.1
2,val,31.1,28,90,1.4949,1.2
2,val,35.6,32,90,1.5129,1.4
2,val,40.0,36,90,1.5265,1.6
2,val,44.4,40,90,1.5365,1.8
2,val,48.9,44,90,1.5318,1.9
2,val,53.3,48,90,1.5406,2.1
2,val,57.8,52,90,1.541,2.3
2,val,62.2,56,90,1.5394,2.5
2,val,66.7,60,90,1.5437,2.6
2,val,71.1,64,90,1.5433,2.8
2,val,75.6,68,90,1.5398,3.0
2,val,80.0,72,90,1.5415,3.1
2,val,84.4,76,90,1.5414,3.3
2,val,88.9,80,90,1.5393,3.5
2,val,93.3,84,90,1.5406,3.7
2,val,97.8,88,90,1.5395,3.8
2,val,100.0,90,90,1.536,3.9
3,train,5.0,22,443,1.5969,1.0
3,train,9.9,44,443,1.5999,2.0
3,train,14.9,66,443,1.6003,3.0
3,train,19.9,88,443,1.6116,4.0
3,train,24.8,110,443,1.6093,4.9
3,train,29.8,132,443,1.6066,5.9
3,train,34.8,154,443,1.6068,6.9
3,train,39.7,176,443,1.6084,7.9
3,train,44.7,198,443,1.6059,8.9
3,train,49.7,220,443,1.607,9.8
3,train,54.6,242,443,1.607,10.8
3,train,59.6,264,443,1.607,11.8
3,train,64.6,286,443,1.6067,12.8
3,train,69.5,308,443,1.6072,13.8
3,train,74.5,330,443,1.6072,14.7
3,train,79.5,352,443,1.6077,15.7
3,train,84.4,374,443,1.607,16.7
3,train,89.4,396,443,1.6061,17.7
3,train,94.4,418,443,1.6068,18.7
3,train,99.3,440,443,1.6072,19.7
3,train,100.0,443,443,1.6071,19.8
3,val,4.4,4,90,1.5722,0.2
3,val,8.9,8,90,1.493,0.4
3,val,13.3,12,90,1.4637,0.6
3,val,17.8,16,90,1.4529,0.7
3,val,22.2,20,90,1.4541,0.9
3,val,26.7,24,90,1.4705,1.1
3,val,31.1,28,90,1.4626,1.2
3,val,35.6,32,90,1.4798,1.4
3,val,40.0,36,90,1.4849,1.6
3,val,44.4,40,90,1.4919,1.8
3,val,48.9,44,90,1.485,1.9
3,val,53.3,48,90,1.4972,2.1
3,val,57.8,52,90,1.4974,2.3
3,val,62.2,56,90,1.4983,2.4
3,val,66.7,60,90,1.5025,2.6
3,val,71.1,64,90,1.5012,2.8
3,val,75.6,68,90,1.4995,3.0
3,val,80.0,72,90,1.4999,3.1
3,val,84.4,76,90,1.5009,3.3
3,val,88.9,80,90,1.5001,3.5
3,val,93.3,84,90,1.4998,3.7
3,val,97.8,88,90,1.4984,3.8
3,val,100.0,90,90,1.4945,3.9
4,train,5.0,22,443,1.5835,1.0
4,train,9.9,44,443,1.5914,2.0
4,train,14.9,66,443,1.5908,3.0
4,train,19.9,88,443,1.5951,4.0
4,train,24.8,110,443,1.5997,4.9
4,train,29.8,132,443,1.5954,5.9
4,train,34.8,154,443,1.5937,6.9
4,train,39.7,176,443,1.5927,7.9
4,train,44.7,198,443,1.595,8.9
4,train,49.7,220,443,1.5928,9.8
4,train,54.6,242,443,1.5913,10.8
4,train,59.6,264,443,1.5903,11.8
4,train,64.6,286,443,1.5891,12.8
4,train,69.5,308,443,1.5904,13.8
4,train,74.5,330,443,1.5906,14.8
4,train,79.5,352,443,1.5906,15.7
4,train,84.4,374,443,1.5891,16.7
4,train,89.4,396,443,1.5899,17.7
4,train,94.4,418,443,1.5898,18.7
4,train,99.3,440,443,1.5898,19.7
4,train,100.0,443,443,1.5899,19.8
4,val,4.4,4,90,1.4754,0.2
4,val,8.9,8,90,1.4436,0.4
4,val,13.3,12,90,1.4386,0.6
4,val,17.8,16,90,1.4242,0.7
4,val,22.2,20,90,1.4234,0.9
4,val,26.7,24,90,1.4478,1.1
4,val,31.1,28,90,1.441,1.3
4,val,35.6,32,90,1.4563,1.4
4,val,40.0,36,90,1.4666,1.6
4,val,44.4,40,90,1.475,1.8
4,val,48.9,44,90,1.4679,1.9
4,val,53.3,48,90,1.4761,2.1
4,val,57.8,52,90,1.4742,2.3
4,val,62.2,56,90,1.4728,2.5
4,val,66.7,60,90,1.4734,2.6
4,val,71.1,64,90,1.4718,2.8
4,val,75.6,68,90,1.4703,3.0
4,val,80.0,72,90,1.4709,3.2
4,val,84.4,76,90,1.4703,3.3
4,val,88.9,80,90,1.469,3.5
4,val,93.3,84,90,1.4693,3.7
4,val,97.8,88,90,1.4679,3.8
4,val,100.0,90,90,1.4638,3.9
5,train,5.0,22,443,1.5657,1.0
5,train,9.9,44,443,1.5532,2.0
5,train,14.9,66,443,1.5632,3.0
5,train,19.9,88,443,1.5684,4.0
5,train,24.8,110,443,1.5706,4.9
5,train,29.8,132,443,1.5718,5.9
5,train,34.8,154,443,1.5702,6.9
5,train,39.7,176,443,1.5723,7.9
5,train,44.7,198,443,1.5716,8.9
5,train,49.7,220,443,1.5727,9.9
5,train,54.6,242,443,1.5737,10.8
5,train,59.6,264,443,1.5749,11.8
5,train,64.6,286,443,1.5737,12.8
5,train,69.5,308,443,1.5744,13.8
5,train,74.5,330,443,1.5751,14.8
5,train,79.5,352,443,1.5737,15.7
5,train,84.4,374,443,1.5738,16.7
5,train,89.4,396,443,1.5738,17.7
5,train,94.4,418,443,1.5738,18.7
5,train,99.3,440,443,1.574,19.7
5,train,100.0,443,443,1.574,19.8
5,val,4.4,4,90,1.4732,0.2
5,val,8.9,8,90,1.4692,0.4
5,val,13.3,12,90,1.4585,0.5
5,val,17.8,16,90,1.4342,0.7
5,val,22.2,20,90,1.4367,0.9
5,val,26.7,24,90,1.4497,1.1
5,val,31.1,28,90,1.4379,1.2
5,val,35.6,32,90,1.4538,1.4
5,val,40.0,36,90,1.4652,1.6
5,val,44.4,40,90,1.4773,1.8
5,val,48.9,44,90,1.4752,1.9
5,val,53.3,48,90,1.4911,2.1
5,val,57.8,52,90,1.4886,2.3
5,val,62.2,56,90,1.4872,2.4
5,val,66.7,60,90,1.487,2.6
5,val,71.1,64,90,1.4868,2.8
5,val,75.6,68,90,1.4847,3.0
5,val,80.0,72,90,1.488,3.1
5,val,84.4,76,90,1.488,3.3
5,val,88.9,80,90,1.4883,3.5
