epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.7064,0.3903,1.5286,0.4183,0.4009,0.0002
2,1.6332,0.4297,1.536,0.4135,0.4082,0.0002
3,1.6071,0.4439,1.4945,0.4292,0.4285,0.0002
4,1.5899,0.4544,1.4638,0.4395,0.4331,0.0002
5,1.574,0.4611,1.4836,0.4358,0.4257,0.0002
6,1.5633,0.467,1.4831,0.4379,0.4379,0.0002
7,1.5524,0.473,1.463,0.4494,0.44,0.0002
8,1.538,0.4794,1.4789,0.4321,0.4277,0.0002
9,1.53,0.4846,1.4635,0.4535,0.4517,0.0002
10,1.5194,0.4856,1.4884,0.4315,0.4308,0.0002
11,1.5094,0.4948,1.495,0.432,0.4348,0.0001
12,1.4769,0.5096,1.4638,0.4473,0.4457,0.0001
13,1.4662,0.5137,1.4664,0.448,0.4443,0.0001
14,1.4543,0.5198,1.4882,0.4372,0.4357,0.0001
15,1.4452,0.5229,1.4792,0.4456,0.4426,5e-05
16,1.4195,0.5378,1.4878,0.4466,0.4426,5e-05
