epoch,phase,pct,batch_idx,n_batches,cumulative_loss,elapsed_min
1,train,5.0,22,443,1.9167,1.1
1,train,9.9,44,443,1.8737,2.1
1,train,14.9,66,443,1.8285,3.1
1,train,19.9,88,443,1.8003,4.0
1,train,24.8,110,443,1.7805,5.0
1,train,29.8,132,443,1.766,6.0
1,train,34.8,154,443,1.7535,7.0
1,train,39.7,176,443,1.7465,8.0
1,train,44.7,198,443,1.7371,9.0
1,train,49.7,220,443,1.7279,9.9
1,train,54.6,242,443,1.7213,10.9
1,train,59.6,264,443,1.7138,11.9
1,train,64.6,286,443,1.7088,12.9
1,train,69.5,308,443,1.7042,13.9
1,train,74.5,330,443,1.6988,14.9
1,train,79.5,352,443,1.6948,15.8
1,train,84.4,374,443,1.6902,16.8
1,train,89.4,396,443,1.6856,17.8
1,train,94.4,418,443,1.682,18.8
1,train,99.3,440,443,1.6789,19.8
1,train,100.0,443,443,1.6786,19.9
1,val,4.4,4,90,1.498,0.2
1,val,8.9,8,90,1.4904,0.4
1,val,13.3,12,90,1.4767,0.6
1,val,17.8,16,90,1.4683,0.7
1,val,22.2,20,90,1.4702,0.9
1,val,26.7,24,90,1.4874,1.1
1,val,31.1,28,90,1.4851,1.2
1,val,35.6,32,90,1.5017,1.4
1,val,40.0,36,90,1.511,1.6
1,val,44.4,40,90,1.5086,1.8
1,val,48.9,44,90,1.4969,1.9
1,val,53.3,48,90,1.5025,2.1
1,val,57.8,52,90,1.5031,2.3
1,val,62.2,56,90,1.5048,2.4
1,val,66.7,60,90,1.5109,2.6
1,val,71.1,64,90,1.5106,2.8
1,val,75.6,68,90,1.5086,3.0
1,val,80.0,72,90,1.5082,3.1
1,val,84.4,76,90,1.5083,3.3
1,val,88.9,80,90,1.5064,3.5
1,val,93.3,84,90,1.5076,3.7
1,val,97.8,88,90,1.5074,3.8
1,val,100.0,90,90,1.5043,3.9
2,train,5.0,22,443,1.5905,1.0
2,train,9.9,44,443,1.5819,2.0
2,train,14.9,66,443,1.5886,3.0
2,train,19.9,88,443,1.5896,4.0
2,train,24.8,110,443,1.5946,4.9
2,train,29.8,132,443,1.5983,5.9
2,train,34.8,154,443,1.5965,6.9
2,train,39.7,176,443,1.5952,7.9
2,train,44.7,198,443,1.5959,8.9
2,train,49.7,220,443,1.5954,9.8
2,train,54.6,242,443,1.5967,10.8
2,train,59.6,264,443,1.5961,11.8
2,train,64.6,286,443,1.5955,12.8
2,train,69.5,308,443,1.5942,13.8
2,train,74.5,330,443,1.5939,14.8
2,train,79.5,352,443,1.5933,15.7
2,train,84.4,374,443,1.5913,16.7
2,train,89.4,396,443,1.5898,17.7
2,train,94.4,418,443,1.5888,18.7
2,train,99.3,440,443,1.5887,19.7
2,train,100.0,443,443,1.5888,19.8
2,val,4.4,4,90,1.4515,0.2
2,val,8.9,8,90,1.4355,0.4
2,val,13.3,12,90,1.4284,0.5
2,val,17.8,16,90,1.4057,0.7
2,val,22.2,20,90,1.4069,0.9
2,val,26.7,24,90,1.4345,1.1
2,val,31.1,28,90,1.4364,1.2
2,val,35.6,32,90,1.4511,1.4
2,val,40.0,36,90,1.4562,1.6
2,val,44.4,40,90,1.458,1.8
2,val,48.9,44,90,1.4476,1.9
2,val,53.3,48,90,1.4582,2.1
2,val,57.8,52,90,1.4602,2.3
2,val,62.2,56,90,1.4579,2.4
2,val,66.7,60,90,1.4633,2.6
2,val,71.1,64,90,1.4651,2.8
2,val,75.6,68,90,1.4649,3.0
2,val,80.0,72,90,1.4657,3.1
2,val,84.4,76,90,1.4661,3.3
2,val,88.9,80,90,1.4645,3.5
2,val,93.3,84,90,1.4643,3.7
2,val,97.8,88,90,1.4618,3.8
2,val,100.0,90,90,1.4591,3.9
3,train,5.0,22,443,1.5654,1.0
3,train,9.9,44,443,1.556,2.0
3,train,14.9,66,443,1.5541,3.0
3,train,19.9,88,443,1.555,4.0
3,train,24.8,110,443,1.5561,5.0
3,train,29.8,132,443,1.5583,5.9
3,train,34.8,154,443,1.5544,6.9
3,train,39.7,176,443,1.5545,7.9
3,train,44.7,198,443,1.5564,8.9
3,train,49.7,220,443,1.5592,9.9
3,train,54.6,242,443,1.5569,10.9
3,train,59.6,264,443,1.556,11.8
3,train,64.6,286,443,1.5546,12.8
3,train,69.5,308,443,1.5527,13.8
3,train,74.5,330,443,1.5516,14.8
3,train,79.5,352,443,1.5523,15.8
3,train,84.4,374,443,1.5523,16.8
3,train,89.4,396,443,1.552,17.7
3,train,94.4,418,443,1.5518,18.7
3,train,99.3,440,443,1.5512,19.7
3,train,100.0,443,443,1.5517,19.8
3,val,4.4,4,90,1.4244,0.2
3,val,8.9,8,90,1.4155,0.4
3,val,13.3,12,90,1.4128,0.5
3,val,17.8,16,90,1.3934,0.7
3,val,22.2,20,90,1.3999,0.9
3,val,26.7,24,90,1.4209,1.1
3,val,31.1,28,90,1.415,1.2
3,val,35.6,32,90,1.4293,1.4
3,val,40.0,36,90,1.4366,1.6
3,val,44.4,40,90,1.4427,1.7
3,val,48.9,44,90,1.432,1.9
3,val,53.3,48,90,1.4413,2.1
3,val,57.8,52,90,1.4398,2.3
3,val,62.2,56,90,1.4385,2.4
3,val,66.7,60,90,1.443,2.6
3,val,71.1,64,90,1.4426,2.8
3,val,75.6,68,90,1.4426,3.0
3,val,80.0,72,90,1.4436,3.1
3,val,84.4,76,90,1.4437,3.3
3,val,88.9,80,90,1.4426,3.5
3,val,93.3,84,90,1.4421,3.6
3,val,97.8,88,90,1.4412,3.8
3,val,100.0,90,90,1.4383,3.9
4,train,5.0,22,443,1.5194,1.0
4,train,9.9,44,443,1.5273,2.0
4,train,14.9,66,443,1.5289,3.0
4,train,19.9,88,443,1.5199,4.0
4,train,24.8,110,443,1.5255,5.0
4,train,29.8,132,443,1.5297,5.9
4,train,34.8,154,443,1.5316,6.9
4,train,39.7,176,443,1.531,7.9
4,train,44.7,198,443,1.5291,8.9
4,train,49.7,220,443,1.529,9.9
4,train,54.6,242,443,1.5315,10.8
4,train,59.6,264,443,1.5301,11.8
4,train,64.6,286,443,1.5292,12.8
4,train,69.5,308,443,1.5274,13.8
4,train,74.5,330,443,1.5268,14.8
4,train,79.5,352,443,1.5259,15.8
4,train,84.4,374,443,1.5249,16.7
4,train,89.4,396,443,1.524,17.7
4,train,94.4,418,443,1.5237,18.7
4,train,99.3,440,443,1.5246,19.7
4,train,100.0,443,443,1.5246,19.8
4,val,4.4,4,90,1.384,0.2
4,val,8.9,8,90,1.3963,0.4
4,val,13.3,12,90,1.3921,0.6
4,val,17.8,16,90,1.3741,0.7
4,val,22.2,20,90,1.3844,0.9
4,val,26.7,24,90,1.4002,1.1
4,val,31.1,28,90,1.3933,1.2
4,val,35.6,32,90,1.4069,1.4
4,val,40.0,36,90,1.4091,1.6
4,val,44.4,40,90,1.4111,1.8
4,val,48.9,44,90,1.4017,1.9
4,val,53.3,48,90,1.4172,2.1
4,val,57.8,52,90,1.4161,2.3
4,val,62.2,56,90,1.4168,2.5
4,val,66.7,60,90,1.4194,2.6
4,val,71.1,64,90,1.4195,2.8
4,val,75.6,68,90,1.4176,3.0
4,val,80.0,72,90,1.4192,3.1
4,val,84.4,76,90,1.4198,3.3
4,val,88.9,80,90,1.4192,3.5
4,val,93.3,84,90,1.4194,3.7
4,val,97.8,88,90,1.4189,3.8
4,val,100.0,90,90,1.4163,3.9
5,train,5.0,22,443,1.506,1.0
5,train,9.9,44,443,1.51,2.0
5,train,14.9,66,443,1.5007,3.0
5,train,19.9,88,443,1.5011,4.0
5,train,24.8,110,443,1.499,5.0
5,train,29.8,132,443,1.5009,5.9
5,train,34.8,154,443,1.5009,6.9
5,train,39.7,176,443,1.4999,7.9
5,train,44.7,198,443,1.5006,8.9
5,train,49.7,220,443,1.4991,9.9
5,train,54.6,242,443,1.5003,10.8
5,train,59.6,264,443,1.5003,11.8
5,train,64.6,286,443,1.5009,12.8
5,train,69.5,308,443,1.5007,13.8
5,train,74.5,330,443,1.4994,14.8
5,train,79.5,352,443,1.5008,15.8
5,train,84.4,374,443,1.5018,16.7
5,train,89.4,396,443,1.5014,17.7
5,train,94.4,418,443,1.5012,18.7
5,train,99.3,440,443,1.5008,19.7
5,train,100.0,443,443,1.5004,19.8
5,val,4.4,4,90,1.3641,0.2
5,val,8.9,8,90,1.3731,0.4
5,val,13.3,12,90,1.3637,0.5
5,val,17.8,16,90,1.3452,0.7
5,val,22.2,20,90,1.351,0.9
5,val,26.7,24,90,1.3661,1.1
5,val,31.1,28,90,1.3617,1.2
5,val,35.6,32,90,1.378,1.4
5,val,40.0,36,90,1.389,1.6
5,val,44.4,40,90,1.3999,1.8
5,val,48.9,44,90,1.3984,1.9
5,val,53.3,48,90,1.4146,2.1
5,val,57.8,52,90,1.4137,2.3
5,val,62.2,56,90,1.4148,2.4
5,val,66.7,60,90,1.4188,2.6
5,val,71.1,64,90,1.4195,2.8
5,val,75.6,68,90,1.4158,3.0
5,val,80.0,72,90,1.4157,3.1
5,val,84.4,76,90,1.4178,3.3
5,val,88.9,80,90,1.417,3.5
5,val,93.3,84,90,1.4158,3.6
5,val,97.8,88,90,1.4158,3.8
5,val,100.0,90,90,1.4131,3.9
6,train,5.0,22,443,1.4485,1.0
6,train,9.9,44,443,1.4573,2.0
6,train,14.9,66,443,1.4613,3.0
6,train,19.9,88,443,1.4651,4.0
6,train,24.8,110,443,1.4663,4.9
6,train,29.8,132,443,1.4706,5.9
6,train,34.8,154,443,1.4729,6.9
6,train,39.7,176,443,1.471,7.9
6,train,44.7,198,443,1.4714,8.9
6,train,49.7,220,443,1.4733,9.9
6,train,54.6,242,443,1.4715,10.8
6,train,59.6,264,443,1.4699,11.8
6,train,64.6,286,443,1.4704,12.8
6,train,69.5,308,443,1.4706,13.8
6,train,74.5,330,443,1.4715,14.8
6,train,79.5,352,443,1.4711,15.8
6,train,84.4,374,443,1.4717,16.7
6,train,89.4,396,443,1.4712,17.7
6,train,94.4,418,443,1.4706,18.7
6,train,99.3,440,443,1.4709,19.7
6,train,100.0,443,443,1.4707,19.8
6,val,4.4,4,90,1.4745,0.2
6,val,8.9,8,90,1.4707,0.4
6,val,13.3,12,90,1.4463,0.6
6,val,17.8,16,90,1.4272,0.7
6,val,22.2,20,90,1.4461,0.9
6,val,26.7,24,90,1.4538,1.1
6,val,31.1,28,90,1.4463,1.3
6,val,35.6,32,90,1.4651,1.4
6,val,40.0,36,90,1.4694,1.6
6,val,44.4,40,90,1.486,1.8
6,val,48.9,44,90,1.4783,2.0
6,val,53.3,48,90,1.4921,2.1
6,val,57.8,52,90,1.49,2.3
6,val,62.2,56,90,1.4958,2.5
6,val,66.7,60,90,1.5037,2.6
6,val,71.1,64,90,1.5043,2.8
6,val,75.6,68,90,1.5023,3.0
6,val,80.0,72,90,1.5039,3.2
6,val,84.4,76,90,1.5047,3.3
6,val,88.9,80,90,1.5036,3.5
6,val,93.3,84,90,1.5027,3.7
6,val,97.8,88,90,1.5039,3.8
6,val,100.0,90,90,1.5009,3.9
7,train,5.0,22,443,1.4192,1.0
7,train,9.9,44,443,1.4356,2.0
7,train,14.9,66,443,1.43,3.0
7,train,19.9,88,443,1.4291,4.0
7,train,24.8,110,443,1.4218,5.0
7,train,29.8,132,443,1.4264,5.9
7,train,34.8,154,443,1.4289,6.9
7,train,39.7,176,443,1.4317,7.9
7,train,44.7,198,443,1.4339,8.9
7,train,49.7,220,443,1.4328,9.9
7,train,54.6,242,443,1.4333,10.9
7,train,59.6,264,443,1.4345,11.8
7,train,64.6,286,443,1.4368,12.8
7,train,69.5,308,443,1.4371,13.8
7,train,74.5,330,443,1.4394,14.8
7,train,79.5,352,443,1.4398,15.8
7,train,84.4,374,443,1.4389,16.8
7,train,89.4,396,443,1.4397,17.7
7,train,94.4,418,443,1.4414,18.7
7,train,99.3,440,443,1.4431,19.7
7,train,100.0,443,443,1.4434,19.8
7,val,4.4,4,90,1.4209,0.2
7,val,8.9,8,90,1.4101,0.4
7,val,13.3,12,90,1.4014,0.5
7,val,17.8,16,90,1.3856,0.7
7,val,22.2,20,90,1.3901,0.9
7,val,26.7,24,90,1.3992,1.1
7,val,31.1,28,90,1.3949,1.2
7,val,35.6,32,90,1.4107,1.4
7,val,40.0,36,90,1.4155,1.6
7,val,44.4,40,90,1.4166,1.8
7,val,48.9,44,90,1.4081,1.9
7,val,53.3,48,90,1.4252,2.1
7,val,57.8,52,90,1.4267,2.3
7,val,62.2,56,90,1.424,2.4
7,val,66.7,60,90,1.4286,2.6
7,val,71.1,64,90,1.4301,2.8
7,val,75.6,68,90,1.4291,3.0
7,val,80.0,72,90,1.4294,3.1
7,val,84.4,76,90,1.4301,3.3
7,val,88.9,80,90,1.4302,3.5
7,val,93.3,84,90,1.4304,3.6
7,val,97.8,88,90,1.4309,3.8
7,val,100.0,90,90,1.4275,3.9
8,train,5.0,22,443,1.4142,1.0
8,train,9.9,44,443,1.4068,2.0
8,train,14.9,66,443,1.4043,3.0
8,train,19.9,88,443,1.4095,4.0
8,train,24.8,110,443,1.4095,5.0
8,train,29.8,132,443,1.4097,6.0
8,train,34.8,154,443,1.412,6.9
8,train,39.7,176,443,1.4161,7.9
8,train,44.7,198,443,1.4138,8.9
8,train,49.7,220,443,1.4132,9.9
8,train,54.6,242,443,1.4134,10.9
8,train,59.6,264,443,1.4145,11.8
8,train,64.6,286,443,1.4151,12.8
8,train,69.5,308,443,1.4148,13.8
8,train,74.5,330,443,1.4142,14.8
8,train,79.5,352,443,1.4158,15.8
8,train,84.4,374,443,1.415,16.8
8,train,89.4,396,443,1.4157,17.7
8,train,94.4,418,443,1.4164,18.7
8,train,99.3,440,443,1.4159,19.7
8,train,100.0,443,443,1.4159,19.8
8,val,4.4,4,90,1.4112,0.2
8,val,8.9,8,90,1.4065,0.4
8,val,13.3,12,90,1.3982,0.6
8,val,17.8,16,90,1.3754,0.7
8,val,22.2,20,90,1.387,0.9
8,val,26.7,24,90,1.3923,1.1
8,val,31.1,28,90,1.3832,1.3
8,val,35.6,32,90,1.4019,1.4
8,val,40.0,36,90,1.4065,1.6
8,val,44.4,40,90,1.4101,1.8
8,val,48.9,44,90,1.4044,1.9
8,val,53.3,48,90,1.4293,2.1
8,val,57.8,52,90,1.4318,2.3
8,val,62.2,56,90,1.4299,2.5
8,val,66.7,60,90,1.4357,2.6
8,val,71.1,64,90,1.4408,2.8
8,val,75.6,68,90,1.4386,3.0
8,val,80.0,72,90,1.4418,3.1
8,val,84.4,76,90,1.4423,3.3
8,val,88.9,80,90,1.4417,3.5
8,val,93.3,84,90,1.442,3.7
8,val,97.8,88,90,1.443,3.8
