epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.6786,0.403,1.5043,0.4186,0.4204,0.0002
2,1.5888,0.4516,1.4591,0.4374,0.4297,0.0002
3,1.5517,0.4717,1.4383,0.4502,0.4458,0.0002
4,1.5246,0.4847,1.4163,0.4627,0.453,0.0002
5,1.5004,0.4958,1.4131,0.4698,0.4682,0.0002
6,1.4707,0.5109,1.5009,0.43,0.4337,0.0002
7,1.4434,0.526,1.4275,0.457,0.4498,0.0002
8,1.4159,0.5408,1.4397,0.4616,0.4478,0.0002
9,1.3818,0.5577,1.4552,0.4589,0.4595,0.0001
10,1.2947,0.6041,1.478,0.4558,0.4501,0.0001
11,1.2459,0.628,1.5051,0.4539,0.4523,0.0001
12,1.2026,0.6511,1.5655,0.4439,0.4343,0.0001
