epoch,phase,pct,batch_idx,n_batches,cumulative_loss,elapsed_min
1,train,4.8,21,437,1.9224,0.5
1,train,9.6,42,437,1.8889,1.1
1,train,14.4,63,437,1.8519,1.8
1,train,19.2,84,437,1.8214,2.4
1,train,24.0,105,437,1.797,2.9
1,train,28.8,126,437,1.7824,3.6
1,train,33.6,147,437,1.7725,3.9
1,train,38.4,168,437,1.7625,4.6
1,train,43.2,189,437,1.7561,5.3
1,train,48.1,210,437,1.7509,5.8
1,train,52.9,231,437,1.744,6.2
1,train,57.7,252,437,1.7368,6.9
1,train,62.5,273,437,1.7323,7.3
1,train,67.3,294,437,1.7277,8.2
1,train,72.1,315,437,1.7238,8.7
1,train,76.9,336,437,1.7204,9.4
1,train,81.7,357,437,1.718,9.7
1,train,86.5,378,437,1.7151,10.2
1,train,91.3,399,437,1.7115,10.8
1,train,96.1,420,437,1.709,11.3
1,train,100.0,437,437,1.707,11.5
1,val,4.3,4,93,1.5561,0.2
1,val,8.6,8,93,1.5252,0.3
1,val,12.9,12,93,1.5058,0.3
1,val,17.2,16,93,1.5076,0.3
1,val,21.5,20,93,1.5114,0.5
1,val,25.8,24,93,1.5008,0.5
1,val,30.1,28,93,1.5011,0.6
1,val,34.4,32,93,1.4933,0.6
1,val,38.7,36,93,1.4924,0.7
1,val,43.0,40,93,1.4833,0.7
1,val,47.3,44,93,1.4763,0.7
1,val,51.6,48,93,1.4693,0.8
1,val,55.9,52,93,1.4823,0.8
1,val,60.2,56,93,1.4806,1.1
1,val,64.5,60,93,1.4749,1.1
1,val,68.8,64,93,1.4792,1.2
1,val,73.1,68,93,1.4705,1.2
1,val,77.4,72,93,1.4794,1.6
1,val,81.7,76,93,1.4809,1.6
1,val,86.0,80,93,1.4824,1.6
1,val,90.3,84,93,1.4885,1.7
1,val,94.6,88,93,1.4869,1.7
1,val,98.9,92,93,1.4877,1.8
1,val,100.0,93,93,1.4873,1.8
2,train,4.8,21,437,1.6403,0.6
2,train,9.6,42,437,1.6376,0.9
2,train,14.4,63,437,1.6457,1.2
2,train,19.2,84,437,1.6437,1.8
2,train,24.0,105,437,1.6406,2.3
2,train,28.8,126,437,1.6376,2.8
2,train,33.6,147,437,1.6371,3.3
2,train,38.4,168,437,1.6352,3.9
2,train,43.2,189,437,1.635,4.1
2,train,48.1,210,437,1.6313,4.6
2,train,52.9,231,437,1.6315,5.0
2,train,57.7,252,437,1.6325,5.4
2,train,62.5,273,437,1.6337,5.8
2,train,67.3,294,437,1.6341,6.2
2,train,72.1,315,437,1.6329,6.7
2,train,76.9,336,437,1.6329,6.9
2,train,81.7,357,437,1.6337,7.3
2,train,86.5,378,437,1.6335,7.7
2,train,91.3,399,437,1.633,8.1
2,train,96.1,420,437,1.633,8.5
2,train,100.0,437,437,1.6325,8.9
2,val,4.3,4,93,1.491,0.1
2,val,8.6,8,93,1.4575,0.2
2,val,12.9,12,93,1.4588,0.2
2,val,17.2,16,93,1.464,0.2
2,val,21.5,20,93,1.4739,0.3
2,val,25.8,24,93,1.4794,0.3
2,val,30.1,28,93,1.4906,0.3
2,val,34.4,32,93,1.4927,0.4
2,val,38.7,36,93,1.4886,0.4
2,val,43.0,40,93,1.4816,0.5
2,val,47.3,44,93,1.4725,0.5
2,val,51.6,48,93,1.4641,0.5
2,val,55.9,52,93,1.4721,0.6
2,val,60.2,56,93,1.4719,0.6
2,val,64.5,60,93,1.4669,0.6
2,val,68.8,64,93,1.4709,0.7
2,val,73.1,68,93,1.4614,0.7
2,val,77.4,72,93,1.4723,0.8
2,val,81.7,76,93,1.4747,0.8
2,val,86.0,80,93,1.4749,0.9
2,val,90.3,84,93,1.4804,1.0
2,val,94.6,88,93,1.4775,1.0
2,val,98.9,92,93,1.4785,1.1
2,val,100.0,93,93,1.4783,1.1
3,train,4.8,21,437,1.5863,0.3
3,train,9.6,42,437,1.5988,0.6
3,train,14.4,63,437,1.6057,0.9
3,train,19.2,84,437,1.605,1.4
3,train,24.0,105,437,1.6001,1.6
3,train,28.8,126,437,1.6022,1.9
3,train,33.6,147,437,1.6042,2.3
3,train,38.4,168,437,1.6055,2.7
3,train,43.2,189,437,1.6048,3.1
3,train,48.1,210,437,1.6068,3.4
3,train,52.9,231,437,1.6064,3.7
3,train,57.7,252,437,1.6055,4.2
3,train,62.5,273,437,1.6056,4.7
3,train,67.3,294,437,1.6062,5.0
3,train,72.1,315,437,1.6063,5.4
3,train,76.9,336,437,1.6086,5.7
3,train,81.7,357,437,1.6079,6.1
3,train,86.5,378,437,1.6076,6.6
3,train,91.3,399,437,1.608,6.9
3,train,96.1,420,437,1.6071,7.3
3,train,100.0,437,437,1.6073,7.5
3,val,4.3,4,93,1.473,0.1
3,val,8.6,8,93,1.4338,0.2
3,val,12.9,12,93,1.4314,0.2
3,val,17.2,16,93,1.4335,0.2
3,val,21.5,20,93,1.4415,0.4
3,val,25.8,24,93,1.4422,0.4
3,val,30.1,28,93,1.4461,0.4
3,val,34.4,32,93,1.4465,0.5
3,val,38.7,36,93,1.4407,0.5
3,val,43.0,40,93,1.436,0.6
3,val,47.3,44,93,1.4341,0.6
3,val,51.6,48,93,1.4242,0.6
3,val,55.9,52,93,1.4341,0.7
3,val,60.2,56,93,1.4319,0.7
3,val,64.5,60,93,1.4263,0.7
3,val,68.8,64,93,1.4297,0.8
3,val,73.1,68,93,1.4216,0.8
3,val,77.4,72,93,1.432,0.9
3,val,81.7,76,93,1.4333,0.9
3,val,86.0,80,93,1.4348,0.9
3,val,90.3,84,93,1.4418,1.0
3,val,94.6,88,93,1.4406,1.1
3,val,98.9,92,93,1.4422,1.1
3,val,100.0,93,93,1.4425,1.1
4,train,4.8,21,437,1.592,0.3
4,train,9.6,42,437,1.5862,0.6
4,train,14.4,63,437,1.5856,1.1
4,train,19.2,84,437,1.5854,1.4
4,train,24.0,105,437,1.5857,1.7
4,train,28.8,126,437,1.5872,2.0
4,train,33.6,147,437,1.5905,2.5
4,train,38.4,168,437,1.5918,2.7
4,train,43.2,189,437,1.5919,3.0
4,train,48.1,210,437,1.59,3.4
4,train,52.9,231,437,1.5897,3.7
4,train,57.7,252,437,1.5908,4.3
4,train,62.5,273,437,1.5925,4.5
4,train,67.3,294,437,1.5909,4.8
4,train,72.1,315,437,1.5916,5.2
4,train,76.9,336,437,1.5892,5.5
4,train,81.7,357,437,1.5903,5.9
4,train,86.5,378,437,1.5907,6.4
4,train,91.3,399,437,1.5907,6.6
4,train,96.1,420,437,1.5901,7.0
4,train,100.0,437,437,1.5896,7.3
4,val,4.3,4,93,1.4778,0.1
4,val,8.6,8,93,1.437,0.1
4,val,12.9,12,93,1.4263,0.2
4,val,17.2,16,93,1.4282,0.2
4,val,21.5,20,93,1.4307,0.2
4,val,25.8,24,93,1.4185,0.3
4,val,30.1,28,93,1.414,0.4
4,val,34.4,32,93,1.4138,0.5
4,val,38.7,36,93,1.408,0.5
4,val,43.0,40,93,1.3994,0.5
4,val,47.3,44,93,1.3961,0.6
4,val,51.6,48,93,1.3864,0.6
4,val,55.9,52,93,1.4,0.6
4,val,60.2,56,93,1.398,0.7
4,val,64.5,60,93,1.3934,0.7
4,val,68.8,64,93,1.3983,0.8
4,val,73.1,68,93,1.3907,0.9
4,val,77.4,72,93,1.4015,0.9
4,val,81.7,76,93,1.4036,0.9
4,val,86.0,80,93,1.4043,1.0
4,val,90.3,84,93,1.4116,1.0
4,val,94.6,88,93,1.4091,1.1
4,val,98.9,92,93,1.4104,1.1
4,val,100.0,93,93,1.4104,1.1
5,train,4.8,21,437,1.5839,0.5
5,train,9.6,42,437,1.5707,0.7
5,train,14.4,63,437,1.5657,1.0
5,train,19.2,84,437,1.5651,1.2
5,train,24.0,105,437,1.5643,1.7
5,train,28.8,126,437,1.567,1.9
5,train,33.6,147,437,1.5656,2.2
5,train,38.4,168,437,1.5668,2.5
5,train,43.2,189,437,1.5669,2.9
5,train,48.1,210,437,1.5667,3.3
5,train,52.9,231,437,1.5654,3.7
5,train,57.7,252,437,1.5667,4.0
5,train,62.5,273,437,1.5672,4.4
5,train,67.3,294,437,1.5691,4.8
5,train,72.1,315,437,1.5695,5.1
5,train,76.9,336,437,1.5713,5.6
5,train,81.7,357,437,1.5701,5.8
5,train,86.5,378,437,1.5691,6.4
5,train,91.3,399,437,1.569,6.8
5,train,96.1,420,437,1.5687,7.0
5,train,100.0,437,437,1.5689,7.5
5,val,4.3,4,93,1.4551,0.1
5,val,8.6,8,93,1.4151,0.2
5,val,12.9,12,93,1.4016,0.2
5,val,17.2,16,93,1.3997,0.2
5,val,21.5,20,93,1.404,0.4
5,val,25.8,24,93,1.3974,0.5
5,val,30.1,28,93,1.3912,0.5
5,val,34.4,32,93,1.3882,0.5
