epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.685,0.4011,1.4336,0.4584,0.4532,0.0002
2,1.6101,0.4404,1.4332,0.4548,0.4528,0.0002
3,1.5813,0.4598,1.4074,0.4641,0.467,0.0002
4,1.556,0.4707,1.4035,0.4655,0.4555,0.0002
5,1.5332,0.4838,1.3862,0.4765,0.4672,0.0002
6,1.5084,0.4949,1.3811,0.4769,0.4729,0.0002
7,1.4813,0.5094,1.4085,0.4735,0.4736,0.0002
8,1.4537,0.5211,1.3905,0.4808,0.4793,0.0002
9,1.4232,0.5366,1.4162,0.4618,0.4562,0.0002
10,1.3898,0.5522,1.4305,0.4671,0.4655,0.0001
11,1.3228,0.588,1.444,0.4676,0.4645,0.0001
12,1.2939,0.6004,1.4509,0.4676,0.4621,0.0001
13,1.2585,0.6172,1.4734,0.4713,0.4662,0.0001
14,1.2289,0.6323,1.5099,0.4552,0.4487,5e-05
15,1.1809,0.6594,1.5143,0.4644,0.4594,5e-05
16,1.1587,0.6688,1.5687,0.4568,0.4531,5e-05
17,1.1405,0.6786,1.5418,0.4626,0.4631,5e-05
18,1.1257,0.6853,1.5842,0.4603,0.4615,2.5e-05
19,1.0909,0.7041,1.6035,0.4617,0.4599,2.5e-05
20,1.0814,0.7088,1.607,0.4599,0.4588,2.5e-05
21,1.0732,0.7131,1.6326,0.4547,0.455,2.5e-05
22,1.0644,0.7185,1.6229,0.4568,0.4552,1.25e-05
23,1.0479,0.7269,1.6438,0.4541,0.4544,1.25e-05
24,1.0402,0.7312,1.6325,0.4578,0.4563,1.25e-05
25,1.0355,0.7341,1.645,0.4573,0.4549,1.25e-05
26,1.0307,0.7364,1.6443,0.4602,0.4589,6.25e-06
27,1.0227,0.7405,1.654,0.4557,0.4553,6.25e-06
28,1.0187,0.745,1.6539,0.4588,0.4575,6.25e-06
29,1.0176,0.7452,1.6594,0.4558,0.4547,6.25e-06
30,1.0152,0.7444,1.666,0.4563,0.4549,3.13e-06
31,1.0107,0.7468,1.6612,0.4564,0.4558,3.13e-06
